id,code,description
176,A23.2,Brucellosis due to Brucella suis
177,A23.3,Brucellosis due to Brucella canis
178,A23.8,Other brucellosis
179,A23.9,Brucellosis and unspecified
180,A24,Glanders and melioidosis
181,A24.0,Glanders
182,A24.1,Acute and fulminating melioidosis
183,A24.2,Subacute and chronic melioidosis
184,A24.3,Other melioidosis
185,A24.9,Melioidosis and unspecified
186,A25,Rat-bite fevers
187,A25.0,Spirillosis
188,A25.1,Streptobacillosis
189,A25.9,Rat-bite fever and unspecified
190,A26,Erysipeloid
191,A26.0,Cutaneous erysipeloid
192,A26.7,Erysipelothrix sepsis
193,A26.8,Other forms of erysipeloid
194,A26.9,Erysipeloid and unspecified
195,A27,Leptospirosis
196,A27.0,Leptospirosis icterohemorrhagica
197,A27.8,Other forms of leptospirosis
198,A27.81,Aseptic meningitis in leptospirosis
199,A27.89,Other forms of leptospirosis
200,A27.9,Leptospirosis and unspecified
201,A28,Other zoonotic bacterial diseases and not elsewhere classified
202,A28.0,Pasteurellosis
203,A28.1,Cat-scratch disease
204,A28.2,Extraintestinal yersiniosis
205,A28.8,Other specified zoonotic bacterial diseases and not elsewhere classified
206,A28.9,Zoonotic bacterial disease and unspecified
207,A30.0,Indeterminate leprosy
208,A30.1,Tuberculoid leprosy
209,A30.2,Borderline tuberculoid leprosy
210,A30.3,Borderline leprosy
211,A30.4,Borderline lepromatous leprosy
212,A30.5,Lepromatous leprosy
213,A30.8,Other forms of leprosy
214,A30.9,Leprosy and unspecified
215,A31,Infection due to other mycobacteria
216,A31.0,Pulmonary mycobacterial infection
217,A31.1,Cutaneous mycobacterial infection
218,A31.2,Disseminated mycobacterium avium-intracellulare complex (DMAC)
219,A31.8,Other mycobacterial infections
220,A31.9,Mycobacterial infection and unspecified
221,A32,Listeriosis
222,A32.0,Cutaneous listeriosis
223,A32.1,Listerial meningitis and meningoencephalitis
224,A32.11,Listerial meningitis
225,A32.12,Listerial meningoencephalitis
226,A32.7,Listerial sepsis
227,A32.8,Other forms of listeriosis
228,A32.81,Oculoglandular listeriosis
229,A32.82,Listerial endocarditis
230,A32.89,Other forms of listeriosis
231,A32.9,Listeriosis and unspecified
232,A33,Tetanus neonatorum
233,A34,Obstetrical tetanus
234,A35,Other tetanus
235,A36,Diphtheria
236,A36.0,Pharyngeal diphtheria
237,A36.1,Nasopharyngeal diphtheria
238,A36.2,Laryngeal diphtheria
239,A36.3,Cutaneous diphtheria
240,A36.8,Other diphtheria
241,A36.81,Diphtheritic cardiomyopathy
242,A36.82,Diphtheritic radiculomyelitis
243,A36.83,Diphtheritic polyneuritis
244,A36.84,Diphtheritic tubulo-interstitial nephropathy
245,A36.85,Diphtheritic cystitis
246,A36.86,Diphtheritic conjunctivitis
247,A36.89,Other diphtheritic complications
248,A36.9,Diphtheria and unspecified
249,A37,Whooping cough
250,A37.0,Whooping cough due to Bordetella pertussis
251,A37.00,Whooping cough due to Bordetella pertussis without pneumonia
252,A37.01,Whooping cough due to Bordetella pertussis with pneumonia
253,A37.1,Whooping cough due to Bordetella parapertussis
254,A37.10,Whooping cough due to Bordetella parapertussis without pneumonia
255,A37.11,Whooping cough due to Bordetella parapertussis with pneumonia
256,A37.8,Whooping cough due to other Bordetella species
257,A37.80,Whooping cough due to other Bordetella species without pneumonia
258,A37.81,Whooping cough due to other Bordetella species with pneumonia
259,A37.9,Whooping cough and unspecified species
260,A37.90,Whooping cough and unspecified species without pneumonia
261,A37.91,Whooping cough and unspecified species with pneumonia
262,A38,Scarlet fever
263,A38.0,Scarlet fever with otitis media
264,A38.1,Scarlet fever with myocarditis
265,A38.8,Scarlet fever with other complications
266,A38.9,Scarlet fever and uncomplicated
267,A39,Meningococcal infection
268,A39.0,Meningococcal meningitis
269,A39.1,Waterhouse-Friderichsen syndrome
270,A39.2,Acute meningococcemia
271,A39.3,Chronic meningococcemia
272,A39.4,Meningococcemia and unspecified
273,A39.5,Meningococcal heart disease
274,A39.50,Meningococcal carditis and unspecified
275,A39.51,Meningococcal endocarditis
276,A39.52,Meningococcal myocarditis
277,A39.53,Meningococcal pericarditis
278,A39.8,Other meningococcal infections
279,A39.81,Meningococcal encephalitis
280,A39.82,Meningococcal retrobulbar neuritis
281,A39.83,Meningococcal arthritis
282,A39.84,Postmeningococcal arthritis
283,A39.89,Other meningococcal infections
284,A39.9,Meningococcal infection and unspecified
285,A40,Streptococcal sepsis
286,A40.0,Sepsis due to streptococcus and group A
287,A40.1,Sepsis due to streptococcus and group B
288,A40.3,Sepsis due to Streptococcus pneumoniae
289,A40.8,Other streptococcal sepsis
290,A40.9,Streptococcal sepsis and unspecified
291,A41,Other sepsis
292,A41.0,Sepsis due to Staphylococcus aureus
293,A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus
294,A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus
295,A41.1,Sepsis due to other specified staphylococcus
296,A41.2,Sepsis due to unspecified staphylococcus
297,A41.3,Sepsis due to Hemophilus influenzae
298,A41.4,Sepsis due to anaerobes
299,A41.5,Sepsis due to other Gram-negative organisms
300,A41.50,Gram-negative sepsis and unspecified
301,A41.52,Sepsis due to Pseudomonas
302,A41.53,Sepsis due to Serratia
303,A41.59,Other Gram-negative sepsis
304,A41.8,Other specified sepsis
305,A41.81,Sepsis due to Enterococcus
306,A41.89,Other specified sepsis
307,A41.9,Sepsis and unspecified organism
308,A42,Actinomycosis
309,A42.0,Pulmonary actinomycosis
310,A42.1,Abdominal actinomycosis
311,A42.2,Cervicofacial actinomycosis
312,A42.7,Actinomycotic sepsis
313,A42.8,Other forms of actinomycosis
314,A42.81,Actinomycotic meningitis
315,A42.82,Actinomycotic encephalitis
316,A42.89,Other forms of actinomycosis
317,A42.9,Actinomycosis and unspecified
318,A43,Nocardiosis
319,A43.0,Pulmonary nocardiosis
320,A43.1,Cutaneous nocardiosis
321,A43.8,Other forms of nocardiosis
322,A43.9,Nocardiosis and unspecified
323,A44,Bartonellosis
324,A44.0,Systemic bartonellosis
325,A44.1,Cutaneous and mucocutaneous bartonellosis
326,A44.8,Other forms of bartonellosis
327,A44.9,Bartonellosis and unspecified
328,A46,Erysipelas
329,A48,Other bacterial diseases and not elsewhere classified
330,A48.0,Gas gangrene
331,A48.3,Toxic shock syndrome
332,A48.4,Brazilian purpuric fever
333,A48.5,Other specified botulism
334,A48.51,Infant botulism
335,A48.52,Wound botulism
336,A48.8,Other specified bacterial diseases
337,A49,Bacterial infection of unspecified site
338,A49.0,Staphylococcal infection and unspecified site
339,A49.01,Methicillin susceptible Staphylococcus aureus infection and unspecified site
340,A49.02,Methicillin resistant Staphylococcus aureus infection and unspecified site
341,A49.1,Streptococcal infection and unspecified site
342,A49.2,Hemophilus influenzae infection and unspecified site
343,A49.3,Mycoplasma infection and unspecified site
344,A49.8,Other bacterial infections of unspecified site
345,A49.9,Bacterial infection and unspecified
346,A50,Congenital syphilis
347,A50.0,Early congenital syphilis and symptomatic
348,A50.01,Early congenital syphilitic oculopathy
349,A50.02,Early congenital syphilitic osteochondropathy
350,A50.03,Early congenital syphilitic pharyngitis
351,A50.04,Early congenital syphilitic pneumonia
352,A50.05,Early congenital syphilitic rhinitis
353,A50.06,Early cutaneous congenital syphilis
354,A50.07,Early mucocutaneous congenital syphilis
355,A50.08,Early visceral congenital syphilis
356,A50.09,Other early congenital syphilis and symptomatic
357,A50.1,Early congenital syphilis and latent
358,A50.2,Early congenital syphilis and unspecified
359,A50.3,Late congenital syphilitic oculopathy
360,A50.30,Late congenital syphilitic oculopathy and unspecified
361,A50.31,Late congenital syphilitic interstitial keratitis
362,A50.32,Late congenital syphilitic chorioretinitis
363,A50.39,Other late congenital syphilitic oculopathy
364,A50.40,Late congenital neurosyphilis and unspecified
365,A50.41,Late congenital syphilitic meningitis
366,A50.42,Late congenital syphilitic encephalitis
367,A50.43,Late congenital syphilitic polyneuropathy
368,A50.44,Late congenital syphilitic optic nerve atrophy
369,A50.45,Juvenile general paresis
370,A50.49,Other late congenital neurosyphilis
371,A50.5,Other late congenital syphilis and symptomatic
372,A50.54,Late congenital cardiovascular syphilis
373,A50.55,Late congenital syphilitic arthropathy
374,A50.56,Late congenital syphilitic osteochondropathy
375,A50.57,Syphilitic saddle nose
376,A50.59,Other late congenital syphilis and symptomatic
377,A50.6,Late congenital syphilis and latent
378,A50.7,Late congenital syphilis and unspecified
379,A50.9,Congenital syphilis and unspecified
380,A51,Early syphilis
381,A51.0,Primary genital syphilis
382,A51.1,Primary anal syphilis
383,A51.2,Primary syphilis of other sites
384,A51.3,Secondary syphilis of skin and mucous membranes
385,A51.31,Condyloma latum
386,A51.32,Syphilitic alopecia
387,A51.39,Other secondary syphilis of skin
388,A51.4,Other secondary syphilis
389,A51.41,Secondary syphilitic meningitis
390,A51.42,Secondary syphilitic female pelvic disease
391,A51.43,Secondary syphilitic oculopathy
392,A51.44,Secondary syphilitic nephritis
393,A51.45,Secondary syphilitic hepatitis
394,A51.46,Secondary syphilitic osteopathy
395,A51.49,Other secondary syphilitic conditions
396,A51.5,Early syphilis and latent
397,A51.9,Early syphilis and unspecified
398,A52,Late syphilis
399,A52.0,Cardiovascular and cerebrovascular syphilis
400,A52.00,Cardiovascular syphilis and unspecified
401,A52.01,Syphilitic aneurysm of aorta
402,A52.02,Syphilitic aortitis
403,A52.03,Syphilitic endocarditis
404,A52.04,Syphilitic cerebral arteritis
405,A52.05,Other cerebrovascular syphilis
406,A52.06,Other syphilitic heart involvement
407,A52.09,Other cardiovascular syphilis
408,A52.1,Symptomatic neurosyphilis
409,A52.10,Symptomatic neurosyphilis and unspecified
410,A52.11,Tabes dorsalis
411,A52.12,Other cerebrospinal syphilis
412,A52.13,Late syphilitic meningitis
413,A52.14,Late syphilitic encephalitis
414,A52.15,Late syphilitic neuropathy
415,A52.17,General paresis
416,A52.19,Other symptomatic neurosyphilis
417,A52.2,Asymptomatic neurosyphilis
418,A52.3,Neurosyphilis and unspecified
419,A52.7,Other symptomatic late syphilis
420,A52.71,Late syphilitic oculopathy
421,A52.72,Syphilis of lung and bronchus
422,A52.73,Symptomatic late syphilis of other respiratory organs
423,A52.74,Syphilis of liver and other viscera
424,A52.75,Syphilis of kidney and ureter
425,A52.76,Other genitourinary symptomatic late syphilis
426,A52.77,Syphilis of bone and joint
427,A52.78,Syphilis of other musculoskeletal tissue
428,A52.79,Other symptomatic late syphilis
429,A52.8,Late syphilis and latent
430,A52.9,Late syphilis and unspecified
431,A53,Other and unspecified syphilis
432,A53.0,Latent syphilis and unspecified as early or late
433,A53.9,Syphilis and unspecified
434,A54,Gonococcal infection
435,A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
436,A54.00,Gonococcal infection of lower genitourinary tract and unspecified
437,A54.01,Gonococcal cystitis and urethritis and unspecified
438,A54.02,Gonococcal vulvovaginitis and unspecified
439,A54.03,Gonococcal cervicitis and unspecified
440,A54.09,Other gonococcal infection of lower genitourinary tract
441,A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
442,A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infection
443,A54.21,Gonococcal infection of kidney and ureter
444,A54.22,Gonococcal prostatitis
445,A54.23,Gonococcal infection of other male genital organs
446,A54.24,Gonococcal female pelvic inflammatory disease
447,A54.29,Other gonococcal genitourinary infections
448,A54.3,Gonococcal infection of eye
449,A54.30,Gonococcal infection of eye and unspecified
450,A54.31,Gonococcal conjunctivitis
451,A54.32,Gonococcal iridocyclitis
452,A54.33,Gonococcal keratitis
453,A54.39,Other gonococcal eye infection
454,A54.4,Gonococcal infection of musculoskeletal system
455,A54.40,Gonococcal infection of musculoskeletal system and unspecified
456,A54.41,Gonococcal spondylopathy
457,A54.42,Gonococcal arthritis
458,A54.43,Gonococcal osteomyelitis
459,A54.49,Gonococcal infection of other musculoskeletal tissue
460,A54.5,Gonococcal pharyngitis
461,A54.6,Gonococcal infection of anus and rectum
462,A54.8,Other gonococcal infections
463,A54.81,Gonococcal meningitis
464,A54.82,Gonococcal brain abscess
465,A54.83,Gonococcal heart infection
466,A54.84,Gonococcal pneumonia
467,A54.85,Gonococcal peritonitis
468,A54.86,Gonococcal sepsis
469,A54.89,Other gonococcal infections
470,A54.9,Gonococcal infection and unspecified
471,A55,Chlamydial lymphogranuloma (venereum)
472,A56,Other sexually transmitted chlamydial diseases
473,A56.0,Chlamydial infection of lower genitourinary tract
474,A56.00,Chlamydial infection of lower genitourinary tract and unspecified
475,A56.01,Chlamydial cystitis and urethritis
476,A56.02,Chlamydial vulvovaginitis
477,A56.09,Other chlamydial infection of lower genitourinary tract
478,A56.1,Chlamydial infection of pelviperitoneum and other genitourinary organs
479,A56.11,Chlamydial female pelvic inflammatory disease
480,A56.19,Other chlamydial genitourinary infection
481,A56.2,Chlamydial infection of genitourinary tract and unspecified
482,A56.3,Chlamydial infection of anus and rectum
483,A56.4,Chlamydial infection of pharynx
484,A56.8,Sexually transmitted chlamydial infection of other sites
485,A57,Chancroid
486,A58,Granuloma inguinale
487,A59,Trichomoniasis
488,A59.0,Urogenital trichomoniasis
489,A59.00,Urogenital trichomoniasis and unspecified
490,A59.01,Trichomonal vulvovaginitis
491,A59.02,Trichomonal prostatitis
492,A59.03,Trichomonal cystitis and urethritis
493,A59.09,Other urogenital trichomoniasis
494,A59.8,Trichomoniasis of other sites
495,A59.9,Trichomoniasis and unspecified
496,A60.0,Herpesviral infection of genitalia and urogenital tract
497,A60.00,Herpesviral infection of urogenital system and unspecified
498,A60.01,Herpesviral infection of penis
499,A60.02,Herpesviral infection of other male genital organs
500,A60.03,Herpesviral cervicitis
501,A60.04,Herpesviral vulvovaginitis
502,A60.09,Herpesviral infection of other urogenital tract
503,A60.1,Herpesviral infection of perianal skin and rectum
504,A60.9,Anogenital herpesviral infection and unspecified
505,A63,Other predominantly sexually transmitted diseases and not elsewhere classified
506,A63.0,Anogenital (venereal) warts
507,A63.8,Other specified predominantly sexually transmitted diseases
508,A64,Unspecified sexually transmitted disease
509,A65,Nonvenereal syphilis
510,A66,Yaws
511,A66.0,Initial lesions of yaws
512,A66.1,Multiple papillomata and wet crab yaws
513,A66.2,Other early skin lesions of yaws
514,A66.3,Hyperkeratosis of yaws
515,A66.4,Gummata and ulcers of yaws
516,A66.5,Gangosa
517,A66.6,Bone and joint lesions of yaws
518,A66.7,Other manifestations of yaws
519,A66.8,Latent yaws
520,A66.9,Yaws and unspecified
521,A67.0,Primary lesions of pinta
522,A67.1,Intermediate lesions of pinta
523,A67.2,Late lesions of pinta
524,A67.3,Mixed lesions of pinta
525,A67.9,Pinta and unspecified
526,A68,Relapsing fevers
527,A68.0,Louse-borne relapsing fever
528,A68.1,Tick-borne relapsing fever
529,A68.9,Relapsing fever and unspecified
530,A69,Other spirochetal infections
531,A69.0,Necrotizing ulcerative stomatitis
532,A69.2,Lyme disease
533,A69.20,Lyme disease and unspecified
534,A69.21,Meningitis due to Lyme disease
535,A69.22,Other neurologic disorders in Lyme disease
536,A69.23,Arthritis due to Lyme disease
537,A69.29,Other conditions associated with Lyme disease
538,A69.8,Other specified spirochetal infections
539,A69.9,Spirochetal infection and unspecified
540,A70,Chlamydia psittaci infections
541,A71,Trachoma
542,A71.0,Initial stage of trachoma
543,A71.1,Active stage of trachoma
544,A71.9,Trachoma and unspecified
545,A74,Other diseases caused by chlamydiae
546,A74.0,Chlamydial conjunctivitis
547,A74.8,Other chlamydial diseases
548,A74.81,Chlamydial peritonitis
549,A74.89,Other chlamydial diseases
550,A74.9,Chlamydial infection and unspecified
551,A75,Typhus fever
552,A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
553,A75.2,Typhus fever due to Rickettsia typhi
554,A75.3,Typhus fever due to Rickettsia tsutsugamushi
555,A75.9,Typhus fever and unspecified
556,A77.0,Spotted fever due to Rickettsia rickettsii
557,A77.1,Spotted fever due to Rickettsia conorii
558,A77.2,Spotted fever due to Rickettsia siberica
559,A77.3,Spotted fever due to Rickettsia australis
560,A77.4,Ehrlichiosis
561,A77.40,Ehrlichiosis and unspecified
562,A77.49,Other ehrlichiosis
563,A77.8,Other spotted fevers
564,A77.9,Spotted fever and unspecified
565,A78,Q fever
566,A79,Other rickettsioses
567,A79.0,Trench fever
568,A79.1,Rickettsialpox due to Rickettsia akari
569,A79.8,Other specified rickettsioses
570,A79.81,Rickettsiosis due to Ehrlichia sennetsu
571,A79.89,Other specified rickettsioses
572,A79.9,Rickettsiosis and unspecified
573,A80,Acute poliomyelitis
574,A80.0,Acute paralytic poliomyelitis and vaccine-associated
575,A80.1,Acute paralytic poliomyelitis and wild virus and imported
576,A80.2,Acute paralytic poliomyelitis and wild virus and indigenous
577,A80.3,Acute paralytic poliomyelitis and other and unspecified
578,A80.30,Acute paralytic poliomyelitis and unspecified
579,A80.39,Other acute paralytic poliomyelitis
580,A80.4,Acute nonparalytic poliomyelitis
581,A80.9,Acute poliomyelitis and unspecified
582,A81,Atypical virus infections of central nervous system
583,A81.0,Creutzfeldt-Jakob disease
584,A81.00,Creutzfeldt-Jakob disease and unspecified
585,A81.01,Variant Creutzfeldt-Jakob disease
586,A81.09,Other Creutzfeldt-Jakob disease
587,A81.1,Subacute sclerosing panencephalitis
588,A81.2,Progressive multifocal leukoencephalopathy
589,A81.8,Other atypical virus infections of central nervous system
590,A81.81,Kuru
591,A81.83,Fatal familial insomnia
592,A81.89,Other atypical virus infections of central nervous system
593,A81.9,Atypical virus infection of central nervous system and unspecified
594,A82,Rabies
595,A82.0,Sylvatic rabies
596,A82.1,Urban rabies
597,A82.9,Rabies and unspecified
598,A83,Mosquito-borne viral encephalitis
599,A83.0,Japanese encephalitis
600,A83.1,Western equine encephalitis
601,A83.2,Eastern equine encephalitis
602,A83.3,St Louis encephalitis
603,A83.4,Australian encephalitis
604,A83.5,California encephalitis
605,A83.6,Rocio virus disease
606,A83.8,Other mosquito-borne viral encephalitis
607,A83.9,Mosquito-borne viral encephalitis and unspecified
608,A84,Tick-borne viral encephalitis
609,A84.1,Central European tick-borne encephalitis
610,A84.8,Other tick-borne viral encephalitis
611,A84.9,Tick-borne viral encephalitis and unspecified
612,A85,Other viral encephalitis and not elsewhere classified
613,A85.0,Enteroviral encephalitis
614,A85.1,Adenoviral encephalitis
615,A85.2,Arthropod-borne viral encephalitis and unspecified
616,A85.8,Other specified viral encephalitis
617,A86,Unspecified viral encephalitis
618,A87,Viral meningitis
619,A87.0,Enteroviral meningitis
620,A87.1,Adenoviral meningitis
621,A87.2,Lymphocytic choriomeningitis
622,A87.8,Other viral meningitis
623,A87.9,Viral meningitis and unspecified
624,A88,Other viral infections of central nervous system and not elsewhere classified
625,A88.1,Epidemic vertigo
626,A88.8,Other specified viral infections of central nervous system
627,A89,Unspecified viral infection of central nervous system
628,A91,Dengue hemorrhagic fever
629,A92,Other mosquito-borne viral fevers
630,A92.0,Chikungunya virus disease
631,A92.2,Venezuelan equine fever
632,A92.3,West Nile virus infection
633,A92.30,West Nile virus infection and unspecified
634,A92.31,West Nile virus infection with encephalitis
635,A92.32,West Nile virus infection with other neurologic manifestation
636,A92.39,West Nile virus infection with other complications
637,A92.4,Rift Valley fever
638,A92.5,Zika virus disease
639,A92.8,Other specified mosquito-borne viral fevers
640,A92.9,Mosquito-borne viral fever and unspecified
641,A93,Other arthropod-borne viral fevers and not elsewhere classified
642,A93.0,Oropouche virus disease
643,A93.1,Sandfly fever
644,A93.2,Colorado tick fever
645,A93.8,Other specified arthropod-borne viral fevers
646,A94,Unspecified arthropod-borne viral fever
647,A95,Yellow fever
648,A95.0,Sylvatic yellow fever
649,A95.1,Urban yellow fever
650,A95.9,Yellow fever and unspecified
651,A96,Arenaviral hemorrhagic fever
652,A96.0,Junin hemorrhagic fever
653,A96.1,Machupo hemorrhagic fever
654,A96.2,Lassa fever
655,A96.8,Other arenaviral hemorrhagic fevers
656,A96.9,Arenaviral hemorrhagic fever and unspecified
657,A98,Other viral hemorrhagic fevers and not elsewhere classified
658,A98.0,Crimean-Congo hemorrhagic fever
659,A98.1,Omsk hemorrhagic fever
660,A98.2,Kyasanur Forest disease
661,A98.3,Marburg virus disease
662,A98.4,Ebola virus disease
663,A98.5,Hemorrhagic fever with renal syndrome
664,A98.8,Other specified viral hemorrhagic fevers
665,A99,Unspecified viral hemorrhagic fever
666,B00.0,Eczema herpeticum
667,B00.1,Herpesviral vesicular dermatitis
668,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis
669,B00.3,Herpesviral meningitis
670,B00.4,Herpesviral encephalitis
671,B00.5,Herpesviral ocular disease
672,B00.50,Herpesviral ocular disease and unspecified
673,B00.51,Herpesviral iridocyclitis
674,B00.52,Herpesviral keratitis
675,B00.53,Herpesviral conjunctivitis
