ID,CODE,DESCRIPTION,
65,67549-6,Transport method NEMSIS,
66,5883-4,Virus identified in Blood by Culture,
67,5167-2,Francisella tularensis Ab [Titer] in Serum by Latex agglutination,
68,74152-0,Anaphylaxis action plan,
69,48597-9,Cyclosporine [Mass/volume] in Blood by Immunoassay --trough,
70,51357-2,CD59 cells/100 cells in Cerebral spinal fluid,
71,33904-4,Neisseria gonorrhoeae rRNA [Presence] in Conjunctival specimen by DNA probe,
72,6247-1,Silk IgE Ab [Units/volume] in Serum,
73,3075-9,Tyramine [Mass/volume] in Cerebral spinal fluid,
74,19352-4,Aprobarbital cutoff [Mass/volume] in Urine for Confirmatory method,
75,45008-0,Chlamydia trachomatis Ab [Presence] in Serum by Complement fixation,
76,22147-3,Brucella abortus Ab [Presence] in Serum,
77,18026-5,Left ventricular Maximum diastole [Volume] by US,
78,9854-1,Weighing device Vendor serial number,
79,24152-1,Alternaria alternata Ab.IgG:ACnc:Pt:Ser:Qn,
80,1509-9,Glucose [Mass/volume] in Urine --1 hour post 75 g glucose PO,
81,49020-1,Respiratory allergen panel and/or US - Coastal California - Serum,
82,55474-1,Dehydroepiandrosterone (DHEA) [Moles/volume] in Serum or Plasma --baseline,
83,43118-9,Fat panel - Stool,
84,31181-1,Toxoplasma gondii IgM Ab [Presence] in Cerebral spinal fluid,
85,49032-6,Second trimester penta maternal screen [interpretation] in Serum or Plasma,
86,19344-1,Amphetamine [Presence] in Urine by Confirmatory method,
87,14749-6,Glucose [Moles/volume] in Serum or Plasma,
88,25907-7,Elastase.pancreatic [Mass/mass] in Stool,
89,61588-0,Does your health now limit you in doing vigorous activities and/or such as running and/or lifting heavy objects and/or participating in strenuous sports [PROMIS],
90,5722-4,Selenium [Mass/volume] in Blood,
91,72952-5,Simvastatin induced neutrophil IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
92,74413-6,Differential panel - Cord blood,
93,6150-7,Ispaghula laxative IgE Ab [Units/volume] in Serum,
94,54444-5,Echovirus 8 Ab [Titer] in Serum,
95,60194-8,Triamterene [Mass/volume] in Blood,
96,73511-8,Azithromycin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
97,19908-3,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor --pre XXX treatment,
98,14857-7,Leukocytes other/100 leukocytes in Pericardial fluid by Manual count,
99,55597-9,Js sup(b) Ab [Titer] in Serum or Plasma,
100,35698-0,Metformin [Mass/volume] in Serum or Plasma,
101,48573-0,Follitropin [Units/volume] in Serum or Plasma --on cycle day 3,
102,29286-2,Methamphetamine [Presence] in Meconium,
103,3956-0,Phentermine [Mass/volume] in Blood,
104,12707-6,Thorium [Mass/volume] in Serum or Plasma,
105,14293-5,Insulin [Moles/volume] in Serum or Plasma --baseline,
106,3869-5,Normeperidine [Mass/volume] in Urine,
107,61965-0,I felt that I was not needed in past 7 days [PROMIS],
108,72922-8,HNA 1a/1a Ab [Presence] in Serum by Immunoassay,
109,38755-5,Dimethylbenzene [Mass/volume] in Air,
110,65170-3,I see myself as someone who has an assertive personality [PhenX],
111,46851-2,Oral Health Status Community [OMAHA],
112,9690-9,Chromium [Mass/volume] in Unspecified specimen,
113,26753-4,Carnitine esters [Units/volume] in Urine,
114,59183-4,Epstein Barr virus early diffuse IgG Ab [Presence] in Serum,
115,32184-4,Itraconazole [Mass/volume] in Serum or Plasma --peak,
116,26580-1,Carnosine/Creatinine [Molar ratio] in Urine,
117,40237-0,Calcium [Moles/volume] in Serum or Plasma --7.5 hours post XXX challenge,
118,72304-9,Edge of wound description,
119,55200-0,Carnitine [Moles/volume] in Body fluid,
120,981-1,Di sup(a) Ab [Presence] in Serum or Plasma,
121,52781-2,Maximum clot firmness.intrinsic coagulation system activated [Length] in Blood by Thromboelastography,
122,22509-4,Saint Louis encephalitis virus Ab [Titer] in Cerebral spinal fluid,
123,5703-4,Nickel [Mass/time] in 24 hour Stool,
124,17121-5,CD18 cells/100 cells in Blood,
125,50855-6,Hexacarboxylporphyrin [Moles/mass] in Stool,
126,20463-6,Mycobacterium avium complex rRNA [Presence] in Unspecified specimen by Probe and target amplification method,
127,45436-3,Distinct food preferences [Minimum Data Set],
128,2236-8,Calciferol (Vit D2) [Mass/volume] in Serum or Plasma,
129,73126-5,Tazobactam induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
130,60329-0,Promazine [Moles/volume] in Unspecified specimen,
131,10261-6,Intravascular tube Institution inventory number,
132,19216-1,Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood,
133,65879-9,Condition causing difficulty with breathing [PhenX],
134,54520-2,Interview for activity preferences,
135,31401-3,Ganglioside GD1b IgG Ab [Units/volume] in Cerebral spinal fluid,
136,27419-1,Sodium [Moles/time] in 24 hour Stool,
137,23570-5,Vesicular stomatitis virus serotype [Identifier] in Tissue by Complement fixation,
138,35670-9,Tobramycin [Mass/volume] in Serum or Plasma,
139,58637-0,Cortisol [Mass/volume] in Saliva (oral fluid) --10th specimen post XXX challenge,
140,46275-4,Major crossmatch [interpretation] --after transfusion reaction,
141,34148-7,Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum,
142,48109-3,Glucose [Moles/volume] in Serum or Plasma --15 minutes pre dose glucose,
143,6848-6,Mushroom IgE Ab [Units/volume] in Serum,
144,931-6,Blood product source [Type],
145,3227-6,Coagulation factor XI activity [Units/volume] in Platelet poor plasma by Chromogenic method,
146,64626-5,Have you used any other methods of contraception [PhenX],
147,38602-9,Hydrazine [Mass/volume] in Air,
148,66166-0,Have you had coffee or tea with cream and sugar since eating or drinking anything but plain water [PhenX],
149,71467-5,Erythropoiesis-stimulating agent prescribed Medication,
150,51564-3,Timothy recombinant (rPhl p) 5 IgE Ab RAST class [Presence] in Serum,
151,10483-6,Gastrin Ag [Presence] in Tissue by Immune stain,
152,67345-9,Does looking up increase your problem [PhenX],
153,67573-6,Deprecated Exposure to blood or body fluids,
154,34939-9,Tumor necrosis factor.alpha [Moles/volume] in Serum or Plasma,
155,60620-2,Upper central incisor to stomion [Length] Skull X-ray measured,
156,19455-5,Dimetamphetamine cutoff [Mass/volume] in Urine for Confirmatory method,
157,28348-1,Speech And Language Knowledge [OMAHA],
158,25488-8,Nicotinamide [Moles/volume] in Serum or Plasma,
159,41875-6,Bordetella pertussis and Bordetella parapertussis DNA panel - Unspecified specimen by Probe and target amplification method,
160,72742-0,Noroxycodone [Mass/volume] in Saliva (oral fluid) by Confirmatory method,
161,32867-4,First tooth space boundary [Identifier],
162,13420-5,Epinephrine [Mass/volume] in Plasma --2nd specimen post XXX challenge,
163,24469-9,Hemoglobin XXX/Hemoglobin.total in Blood by Electrophoresis,
164,28260-8,Communication With Community Resources Behavior [OMAHA],
165,72329-6,Anucleated bodies/100 round cells in Semen by Manual count,
166,8938-3,Fluid intake chest tube 1 hour,
167,18548-8,ST amplitude.J point+20 ms Lead II,
168,22852-8,Deprecated Babesia caballi Ab [Presence] in Serum,
169,27053-8,Morphine [Mass/volume] in Cerebral spinal fluid,
170,13852-9,Aldosterone [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM,
171,25254-4,Ticarcillin [Mass/volume] in Unspecified specimen,
172,12450-3,Ketones [Mass/volume] in Urine by Test strip --2 hours post XXX challenge,
173,23418-7,Salmonella abortus equi Ab [Presence] in Serum by Agglutination,
174,4790-2,HLA-B w70 [Presence] in donor,
175,73789-0,General physical condition [NSRAS],
176,29116-1,Didanosine [Units/volume] in Serum or Plasma,
177,6846-0,Latex glove extract buffered IgE Ab [Units/volume] in Serum,
178,53039-4,Genetic disease analysis overall carrier interpretation [interpretation] in Blood or Tissue by Molecular genetics method,
179,56615-8,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,
180,3351-4,Amphetaminil [Mass/volume] in Urine,
181,19048-8,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood,
182,29018-9,Argon laser coagulation treatment spot size Eye - left,
183,42238-6,Borrelia burgdorferi 23kD Ab [Presence] in Serum by Immunoblot (IB),
184,33391-4,Coxsackievirus A8 Ab [Units/volume] in Serum,
185,24177-8,Coxsackievirus B1 Ab [Titer] in Serum by Complement fixation --1st specimen,
186,6970-8,Purkinje cells Ab [Titer] in Serum,
187,50512-3,Lutropin [Units/volume] in Serum or Plasma --4th specimen,
188,60663-2,Sella-nasion plane to mandibular plane using menton [Angle] Skull X-ray measured,
189,21260-5,Epstein Barr virus nuclear Ab [Titer] in Serum by Immunofluorescence,
190,19600-6,Morphine cutoff [Mass/volume] in Urine for Confirmatory method,
191,56106-8,Hand dominance - clean teeth [EHI],
192,14559-9,Mycobacterium tuberculosis DNA [Presence] in Pleural fluid by Probe and target amplification method,
193,73282-6,Methotrexate induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
194,54705-9,How important it is to have a place to lock your things to keep them safe while in this facility [MDSv3],
195,33200-7,Amyloid beta 42 peptide [Mass/volume] in Plasma,
196,18395-4,Aspergillus niger Ab [Presence] in Cerebral spinal fluid,
197,4329-9,Methylphenidate [Mass] of Dose,
198,11411-6,Physical findings of Neck Narrative,
199,2602-1,Malate dehydrogenase [Enzymatic activity/volume] in Serum,
200,21060-9,Grey Alder IgE Ab RAST class [Presence] in Serum,
201,50212-0,Glucose [Mass/volume] in Serum or Plasma --2nd specimen,
202,62790-1,Deprecated PhenX measure - family history of diabetes,
203,23868-3,Hantavirus sin nombre IgM Ab [Titer] in Serum,
204,62203-5,t(10;11)(p12;q23)(MLLT10,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method,
205,68385-4,Glomerular basement membrane Ab [Presence] in Serum,
206,56210-8,Cat dander IgG4 Ab [Mass/volume] in Serum,
207,23760-2,Neospora caninum Ag [Presence] in Fixed tissue by Immune stain,
208,58087-8,Not otherwise specified Ab [Presence] in Serum or Plasma by Cold absorption,
209,55897-3,Immunoglobulin light chains.free [Presence] in Serum by Immunoelectrophoresis,
210,6587-0,Yellow fever virus Ab [Titer] in Serum by Complement fixation,
211,66429-2,Working diagnosis status [PhenX],
212,40903-7,Streptococcus pneumoniae 12 IgG Ab [Mass/volume] in Serum by Immunoassay,
213,322-8,Methicillin [Susceptibility] by Minimum lethal concentration (MLC),
214,68507-3,Did you ever serve on active duty in the armed forces of the U.S. [SAMHSA],
215,48501-1,HLA Ab [Presence] in Serum by Immunoassay,
216,42723-7,OmpC Ab [Units/volume] in Serum,
217,29701-0,Leptospira interrogans sv Zanoni Ab [Presence] in Serum,
218,56063-1,Circumference.at maximal protrusion of gluteus muscles Pelvis,
219,48350-3,Venlafaxine+Norvenlafaxine [Moles/volume] in Serum or Plasma,
220,35434-0,Herpes simplex virus identified in Wound by Organism specific culture,
221,46885-0,Skin Behavior Community [OMAHA],
222,16210-7,Diethylpropion [Presence] in Urine by Confirmatory method,
223,58257-7,Mention of the participant having either trauma and/or a surgical procedure and/or or rhabdomyolysis within 1W prior to the cardiac enzymes measurement,
224,22012-9,Coding system.original.SEER [Identifier] Cancer registry,
225,47802-4,Valine/Amino acids.total in Amniotic fluid,
226,62820-6,Deprecated PhenX measure - muscle strength,
227,66958-0,How many times in the last year have you gone into or tried to go into a building to steal something [PhenX],
228,70272-0,Patient Health Questionnaire 4 item (PHQ-4) total score [Reported],
229,4312-5,Deprecated Mephenytoin [Mass] of Dose,
230,71104-4,Would you recommend this clinic or office to others [FACIT],
231,29455-3,Pulmonary vein - right upper Peak systolic flow/Peak diastole flow by US.doppler derived,
232,10490-1,IgE Ag [Presence] in Tissue by Immune stain,
233,19295-5,Opiates [Presence] in Urine by Screen method,
234,68061-1,I am doing fewer social activities with groups of people than usual for me in the past 7 days [NeuroQol],
235,43319-3,Avian pneumovirus A Ab [Titer] in Serum by Immunoassay,
236,64611-7,Current stage of genital development [PhenX],
237,8689-2,History of social function,
238,28928-0,Base curve 2 Contact lens prescription - right,
239,52160-9,Pulmonary therapy treatment plan and/or Medication administered Set,
240,7437-7,Kapok IgE Ab [Units/volume] in Serum,
241,59159-4,Microalbumin/Creatinine [Ratio] in 24 hour Urine,
242,27546-1,Cardiac rehabilitation treatment plan and/or Prognosis for rehabilitation,
243,4075-8,Trimeperidine [Presence] in Urine,
244,61229-1,Silver Birch recombinant (rBet v) 1 IgE Ab [Ratio] in Serum,
245,40956-5,Yersinia sp Ab [Presence] in Serum by Complement fixation,
246,55390-9,Insulin [Moles/volume] in Serum or Plasma --6 hours post XXX challenge,
247,53178-0,3-Hydroxyoctanoylcarnitine (C8-OH)+Malonylcarnitine (C3-DC) [Moles/volume] in Dried blood spot,
248,44098-2,Microscopic observation [Identifier] in Unspecified specimen by Wayson stain,
249,4903-1,HLA-D w26 [Presence],
250,28483-6,Digestion-hydration Behavior Family [OMAHA],
251,32854-2,17-Hydroxyprogesterone [Presence] in Dried blood spot,
252,3114-6,Uroporphyrinogen decarboxylase [Enzymatic activity/volume] in Plasma,
253,10155-0,History of allergies and/or reported,
254,24399-8,Deprecated Toxoplasma gondii IgM Ab [Units/volume] in Serum,
255,9097-7,Fluid balance 24 hour,
256,62158-1,I liked being around other kids my age in past 7 days [PROMIS],
257,1419-1,Cortisol [Mass/volume] in Serum or Plasma --30 minutes post dose insulin IV,
258,33735-2,Surgical margin tumor involvement.distant by CAP cancer protocols,
259,57796-5,Reducing substances [Presence] in Stool by Post hydrolysis,
260,72588-7,Alpha 2 globulin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,
261,44058-6,CD4+CD45RA+CD45RB+CD45RC+ cells [#/volume] in Body fluid,
262,72454-2,Butalbital [Mass/volume] in Saliva (oral fluid) by Confirmatory method,
263,47829-7,Arabitol/Creatinine [Molar ratio] in Urine,
264,33561-2,Cannabinoids [Mass/volume] in Gastric fluid,
265,17033-2,Ketamine [Presence] in Urine by Confirmatory method,
266,17395-5,Oxymorphone [Mass/volume] in Urine by Confirmatory method,
267,28652-6,Heparinoid [Units/volume] in Platelet poor plasma by Chromogenic method,
268,56154-8,Protein.abnormal band/Protein.total in Serum or Plasma by Electrophoresis,
269,54464-3,Albumin/Protein.total in Dialysis fluid by Electrophoresis,
270,15944-2,Short Leaf Pine IgE Ab RAST class [Presence] in Serum,
271,29251-6,Brucella sp Ab [Titer] in Serum --2nd specimen,
272,44365-5,Glycine/Creatinine [Mass Ratio] in 24 hour Urine,
273,1315-1,S Ab [Presence] in Serum or Plasma from Blood product unit,
274,8511-8,Posterior tibial artery Systolic blood pressure,
275,51545-2,Budgerigar droppings IgG Ab [Presence] in Serum,
276,35423-3,Herpes simplex virus identified in Vaginal fluid by Organism specific culture,
277,27832-5,Insulin [Units/volume] in Serum or Plasma --4th specimen post XXX challenge,
278,20570-8,Hematocrit [Volume Fraction] of Blood,
279,61218-4,Celery IgE Ab [Ratio] in Serum,
280,61630-0,Are you able to peel fruit [PROMIS],
281,22394-1,Legionella pneumophila 8 Ab [Titer] in Serum,
282,56753-7,PML Ab [Presence] in Serum by Immunoblot (IB),
283,4662-3,Lymphocytes+Monocytes/100 leukocytes in Blood,
284,4966-8,HLA-DR w18(3) [Presence] in donor,
285,50224-5,Epithelial casts [Presence] in Urine by Computer assisted method,
286,43995-0,Trisomy 21 risk in Fetus,
287,13335-5,CD4+CD29+ cells/100 cells in Blood,
288,13649-9,Nickel [Mass/volume] in Water,
289,47411-4,Methadone [Presence] in Serum or Plasma by Confirmatory method,
290,51858-9,Budgerigar serum proteins+feathers+droppings IgG Ab [Presence] in Serum,
291,72014-4,VR-12 Bodily pain (BP) score - oblique method,
292,74351-8,Glucose [Moles/volume] in unspecified time Urine,
293,47276-1,Complement Sc5b-9 Ab [Presence] in Serum or Plasma,
294,60623-6,Naso-labial angle Skull X-ray measured,
295,835-9,Deprecated A variant subtype Ab [Presence] in on Red Blood Cells,
296,60642-6,Upper lip to pogonion [Length] Skull X-ray measured,
297,815-1,A Ab [Presence] in Serum or Plasma from Blood product unit,
298,48272-9,Ciprofloxacin triggered leukotriene release [Mass/volume] by Leukocytes,
299,21557-4,Tetrahydrocannabinol [Presence] in Urine by Screen method >100 ng/mL,
300,29196-3,Speech therapy treatment plan and/or Medication name + identifier Identifier,
301,35539-6,Cow milk IgG Ab [Mass/volume] in Serum,
302,9529-9,Histoplasma capsulatum IgG Ab [Units/volume] in Serum by Immunoassay,
303,32797-3,Drugs identified in Meconium by Screen method,
304,58624-8,Corticotropin [Mass/volume] in Plasma --pre dose glucose,
305,47772-9,Somatotropin [Units/volume] in Serum or Plasma --45 minutes post dose arginine,
306,50009-0,Fetal lung maturity panel - Amniotic fluid,
307,26639-5,Leishmania tropica Ab [Presence] in Serum,
308,12333-1,Butorphanol [Presence] in Urine,
309,27193-2,Tetrahydrocannabinol [Mass/volume] in Vitreous fluid,
310,64886-5,How old were you when you first needed to wear glasses to see clearly in the distance [PhenX],
311,66103-3,Is the skin on your feet so dry that it cracks open [PhenX],
312,43626-1,Acetohexamide [Presence] in Serum or Plasma,
313,71584-7,Exam finding location Abdomen NEMSIS,
314,64167-0,If disabled from walking by any condition other than heart or lung disease and/or please describe nature of conditions [PhenX],
315,11694-7,Aorta ascending Peak systolic flow US.doppler,
316,52944-6,Aluminum/Creatinine [Molar ratio] in 24 hour Urine,
317,42579-3,Aspergillus fumigatus IgM Ab [Units/volume] in Serum,
318,9196-7,Type of Urine tube,
319,29971-9,Strontium [Mass/volume] in 24 hour Urine,
320,14767-8,Glucose [Moles/volume] in Serum or Plasma --5 hours post dose glucose,
321,29305-0,Medication prescribed,
322,11172-4,Ferret epithelium IgE Ab [Units/volume] in Serum,
323,74659-4,Oxymorphone [Presence] in Saliva (oral fluid) by Confirmatory method,
324,59761-7,Triazolam [Mass/volume] in Body fluid by Confirmatory method,
325,29203-7,Speech therapy treatment plan and/or Date range (from/through) of hospitalization leading to treatment Set,
326,6562-3,Treponema pallidum IgM Ab [Presence] in Serum,
327,3895-0,Oxymesterone [Mass/volume] in Urine,
328,75220-4,Urology Progress note,
329,2740-9,Pepsins [Enzymatic activity/volume] in Gastric fluid,
330,3963-6,Phenylpropanolamine [Presence] in Serum or Plasma,
331,363-2,Nitrofurantoin [Susceptibility] by Minimum inhibitory concentration (MIC),
332,64453-4,My cough or breathing disturbs my sleep [PhenX],
333,4428-9,Streptomycin [Mass] of Dose,
334,21542-6,Strawberry IgG Ab RAST class [Presence] in Serum,
335,51922-3,Malt IgG Ab [Mass/volume] in Serum,
336,48826-2,Respiratory allergen panel and/or US - South Atlantic states a - Serum,
337,66773-3,Feelings and emotions [PhenX],
338,11325-8,Glasgow coma score motor at First encounter,
339,42670-0,pH of Vitreous fluid,
340,32268-5,Ribose [Presence] in Urine,
341,16919-3,Glycine [Presence] in Urine,
342,72873-3,Estradiol (E2) [Moles/volume] in Serum or Plasma by High sensitivity method,
343,61666-4,Are you able to open car doors [PROMIS],
344,46733-2,Amino acidemias newborn screen interpretation,
345,63911-2,Fibrocystic or other benign breast disease confirmed by breast biopsy [PhenX],
346,38194-7,Antidepressants [Identifier] in Gastric fluid,
347,41086-0,MLH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
348,52380-3,Skilled nursing treatment plan and/or Treatment encounter (narrative),
349,17774-1,Yellow dye IgE Ab [Units/volume] in Serum,
350,14154-9,Cholesterol sulfate [Mass/volume] in Serum,
351,7198-5,Celery triggered histamine release [Units/volume] in Blood,
352,66560-4,Have you been diagnosed with melanoma in the past - skin cancer and/or arising in melanocytes and/or skin cells that make skin pigment [PhenX],
353,20897-5,Mycoplasma sp serotype [Identifier] in Isolate,
354,57269-3,Patient-specific parameters for notifying physician of changes [OASIS-C],
355,58925-9,Dextromethamphetamine [Presence] in Urine,
356,60417-3,Parainfluenza virus 2 RNA [Presence] in Isolate by Probe and target amplification method,
357,24473-1,Deprecated CD23 cells/100 cells in Unspecified specimen,
358,52688-9,Discharge location [CARE],
359,74888-9,Phytosterols panel - Serum or Plasma,
360,68091-8,I am bothered by limitations in performing my work in the past 7 days [NeuroQol],
361,29130-2,Weight on cornea [Mass] Eye - left Schistz tonometry,
362,240-2,Ethambutol [Susceptibility] by Minimum lethal concentration (MLC),
363,16536-5,Canary serum proteins Ab [Units/volume] in Serum,
364,12771-2,Cholesterol in HDL [Presence] in Serum or Plasma by Electrophoresis,
365,42755-9,Phosphatidylserine IgM Ab B2GP1 dependent [Multiple of the median] in Serum,
366,30373-5,Basophils/100 leukocytes in Bronchial specimen,
367,56586-1,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma --15 minutes post XXX challenge,
368,25741-0,Prolactin [Mass/volume] in Serum or Plasma --50 minutes post 200 ug TRH IV,
369,40044-0,Glucose [Mass/volume] in Serum or Plasma --36 hours post XXX challenge,
370,53697-9,Fetal Nasal bone diaphysis [Length] US,
371,25864-0,Aspartate [Moles/volume] in 24 hour Urine,
372,51478-6,Mucus [#/volume] in Urine by Automated count,
373,31500-2,Ganglioside GM1 IgG+IgM Ab [Units/volume] in Serum,
374,29593-1,MIB-1 Ag/100 cells in Tissue by Immune stain,
375,8800-5,Right ventricular Stroke volume index by Fick method,
376,45715-0,Headache [Minimum Data Set],
377,11995-8,Narrative Placenta position US,
378,24402-0,Chlamydophila pneumoniae+Chlamydophila psittaci DNA [Presence] in Unspecified specimen by Probe with amplification,
379,3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,
380,73207-3,Phenytoin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
381,55716-5,Ticarcillin+Sulbactam [Susceptibility] by Minimum inhibitory concentration (MIC),
382,48571-4,Follitropin [Units/volume] in Serum or Plasma --on cycle day 11,
383,594-2,Leptospira sp identified in Unspecified specimen by Organism specific culture,
384,40686-8,Platelet factor 3 [Units/volume] in Platelet rich plasma,
385,75101-6,Fatty acids.very long chain C22:0 (Docosanoate) [Entitic substance] in Red Blood Cells,
386,27972-9,Histidine [Units/volume] in Serum or Plasma,
387,64196-9,Do you still have asthma [PhenX],
388,44770-6,Neuronal nuclear IgG Ab [Titer] in Serum by Immunofluorescence,
389,11503-0,Medical records,
390,7722-2,Strawberry triggered histamine release [Units/volume] in Blood,
391,21706-7,Deprecated MT-ND4 gene p.R304H [Presence] in Blood or Tissue by Molecular genetics method,
392,66179-3,Exclusion criteria for fasting plasma glucose [PhenX],
393,71038-4,I feel loved in the past 7 days [FACIT],
394,24611-6,Outpatient Consultation 2nd opinion,
395,55273-7,Polio virus immunization status,
396,26486-1,Monocytes/100 leukocytes in Cerebral spinal fluid,
397,28426-5,Neglect Behavior Family [OMAHA],
398,32649-6,Hydroxytriazolam [Mass/volume] in Serum or Plasma,
399,9629-7,Tolazamide [Mass/volume] in Serum or Plasma,
400,30061-6,Aspartate/Creatinine [Ratio] in Urine,
401,7726-3,Sunflower Pollen IgE Ab [Units/volume] in Serum,
402,51988-4,Ureaplasma urealyticum DNA [Presence] in Unspecified specimen by Probe and target amplification method,
403,70791-9,My mind is as sharp as it has always been in the past 7 days [FACIT],
404,74401-1,Lymphocytes [#/volume] in Cord blood,
405,67988-6,I was bothered by little things in the past 7 days [NeuroQol],
406,10528-8,Acetophenazine [Mass/volume] in Serum or Plasma,
407,7156-3,Boxelder IgG Ab [Units/volume] in Serum,
408,58937-4,F12 gene mutations found [Type] in Blood or Tissue by Molecular genetics method,
