id,code,dosage,Name,
157,6012,182MG;0.33MG,FOLVRON,
158,6035,0.2MG,METHERGINE,
159,6035,0.2MG/ML,METHERGINE,
160,6044,165MG,DIASONE SODIUM,
161,6071,50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1650 IU/ML;5 IU/ML,BEROCCA PN,
162,6095,3MG/ML,TUBOCURARINE CHLORIDE,
163,6110,0.01%,DIENESTROL,
164,6134,5MG,DOLOPHINE HYDROCHLORIDE,
165,6134,10MG/30ML,DOLOPHINE HYDROCHLORIDE,
166,6134,10MG,DOLOPHINE HYDROCHLORIDE,
167,6135,1MG,FOLIC ACID,
168,6146,10MG/ML,BENADRYL,
169,6146,50MG/ML,BENADRYL,
170,6170,5%,HYPROTIGEN 5%,
171,6188,50MG,PROPYLTHIOURACIL,
172,6203,2.5MG/ML,HEAVY SOLUTION NUPERCAINE,
173,6213,50MG,PROPYLTHIOURACIL,
174,6270,2%,GAMOPHEN,
175,6309,1%,KWELL,
176,6309,1%,KWELL,
177,6317,250MG/5ML;250MG/5ML,SULFONAMIDES DUPLEX,
178,6317,167MG,NEOTRIZINE,
179,6317,167MG/5ML,NEOTRIZINE,
180,6325,3MG/ML,TUBOCURARINE CHLORIDE,
181,6327,0.5%,ISUPREL,
182,6327,1%,ISUPREL,
183,6328,10MG,ISUPREL,
184,6328,15MG,ISUPREL,
185,6333,EQ 165MG BASE/15ML,SYNOPHYLATE,
186,6343,150 UNITS/ML,WYDASE,
187,6343,1500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,WYDASE,
188,6343,150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,WYDASE,
189,6383,50GM/BOT,METHADONE HYDROCHLORIDE,
190,6383,100GM/BOT,METHADONE HYDROCHLORIDE,
191,6383,500GM/BOT,METHADONE HYDROCHLORIDE,
192,6403,25MG/ML,PRISCOLINE,
193,6412,25MG,DECAPRYN,
194,6412,12.5MG,DECAPRYN,
195,6441,EQ 200MG BASE,CAMOQUIN HYDROCHLORIDE,
196,6459,50MG,HETRAZAN,
197,6460,10MG/ML,PROTAMINE SULFATE,
198,6470,EQ 90MG CALCIUM/5ML,CALCIUM GLUCEPTATE,
199,6488,2%,XYLOCAINE,
200,6488,0.01MG/ML;2%,XYLOCAINE W/ EPINEPHRINE,
201,6488,0.01MG/ML;1%,XYLOCAINE W/ EPINEPHRINE,
202,6488,0.02MG/ML;2%,XYLOCAINE W/ EPINEPHRINE,
203,6488,1%,XYLOCAINE,
204,6488,0.5%,XYLOCAINE,
205,6488,1.5%,XYLOCAINE,
206,6488,0.005MG/ML;0.5%,XYLOCAINE W/ EPINEPHRINE,
207,6488,0.005MG/ML;1.5%,XYLOCAINE W/ EPINEPHRINE,
208,6488,0.005MG/ML;1%,XYLOCAINE W/ EPINEPHRINE,
209,6488,0.005MG/ML;2%,XYLOCAINE W/ EPINEPHRINE,
210,6514,12.5MG/5ML,BENYLIN,
211,6525,500MG,GANTRISIN,
212,6530,15%,AVC,
213,6530,1.05GM,AVC,
214,6536,5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,URECHOLINE,
215,6536,10MG,URECHOLINE,
216,6536,5MG,URECHOLINE,
217,6536,25MG,URECHOLINE,
218,6536,50MG,URECHOLINE,
219,6580,900MG/100ML,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,
220,6620,100MG;1MG,CAFERGOT,
221,6632,2MG/ML,METUBINE IODIDE,
222,6668,1MG/ML,REDISOL,
223,6695,10MG/VIAL,MUSTARGEN,
224,6772,20MG/ML,VASOXYL,
225,6772,10MG/ML,VASOXYL,
226,6773,5MG,ARTANE,
227,6773,2MG,ARTANE,
228,6773,2MG/5ML,ARTANE,
229,6773,5MG,ARTANE,
230,6798,1MG/ML,BERUBIGEN,
231,6799,0.1MG/ML,RUBRAMIN PC,
232,6799,1MG/ML,RUBRAMIN PC,
233,6799,1MG/ML,RUBRAMIN PC,
234,6800,300MG,PARADIONE,
235,6800,300MG/ML,PARADIONE,
236,6800,150MG,PARADIONE,
237,6811,500MG,PARASAL,
238,6811,1GM,PARASAL,
239,6811,500MG,PARASAL SODIUM,
240,6811,1GM,PARASAL SODIUM,
241,6823,EQ 50000 UNITS BASE/ML,AQUASOL A,
242,6882,3%,PHISOHEX,
243,6904,167MG,TERFONYL,
244,6904,167MG/5ML,TERFONYL,
245,6905,25%,NORISODRINE,
246,6905,10%,NORISODRINE,
247,6917,EQ 400MG BASE/ML,GANTRISIN,
248,6920,167MG,TRIPLE SULFAS,
249,6920,167MG/5ML,TRIPLE SULFAS,
250,6921,4MG,CHLOR-TRIMETON,
251,6921,2MG/5ML,CHLOR-TRIMETON,
252,6927,10%,EURAX,
253,6931,1MG/ML,SYNCURINE,
254,7012,1MG/ML,VI-TWEL,
255,7073,500MG,AZULFIDINE,
256,7073,500MG,AZULFIDINE EN-TABS,
257,7085,1MG/ML,CYANOCOBALAMIN,
258,7110,25MG/ML,CORTONE,
259,7110,50MG/ML,CORTONE,
260,7245,0.25%,AEROLONE,
261,7320,500MG,TEEBACIN,
262,7335,250MG,PRONESTYL,
263,7335,100MG/ML,PRONESTYL,
264,7335,500MG,PRONESTYL,
265,7335,375MG,PRONESTYL,
266,7335,500MG/ML,PRONESTYL,
267,7336,2MG,VERILOID,
268,7336,3MG,VERILOID,
269,7337,325MG;2.25MG;0.19MG,PERCODAN-DEMI,
270,7337,325MG;4.5MG;0.38MG,PERCODAN,
271,7337,325MG;4.8355MG,PERCODAN,
272,7390,50MG,BANTHINE,
273,7392,50MG/ML,SECONAL SODIUM,
274,7409,20MG,BENTYL,
275,7409,10MG,BENTYL,
276,7413,50MG/VIAL,PROTAMINE SULFATE,
277,7413,250MG/VIAL,PROTAMINE SULFATE,
278,7504,25 UNITS/VIAL,ACTHAR,
279,7504,40 UNITS/VIAL,ACTHAR,
280,7513,EQ 1MG BASE/ML,LEVOPHED,
281,7517,5MG,TAPAZOLE,
282,7517,10MG,TAPAZOLE,
283,7529,80MG/ML,QUINIDINE GLUCONATE,
284,7600,1GM/VIAL,SURITAL,
285,7600,5GM/VIAL,SURITAL,
286,7600,10GM/VIAL,SURITAL,
287,7638,8MG,CHLOR-TRIMETON,
288,7638,12MG,CHLOR-TRIMETON,
289,7707,500MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,PHENURONE,
290,7750,25MG,CORTONE,
291,7757,EQ 4% BASE,GANTRISIN,
292,7794,200MG,NEOTHYLLINE,
293,7794,400MG,NEOTHYLLINE,
294,7794,160MG/15ML,NEOTHYLLINE,
295,7842,20MG/ML,FLAXEDIL,
296,7842,100MG/ML,FLAXEDIL,
297,7865,2MEQ/ML,POTASSIUM CHLORIDE,
298,7883,500MG,ANTABUSE,
299,7883,250MG,ANTABUSE,
300,7898,500MG,BENEMID,
301,7935,12.5MG,PHENERGAN,
302,7935,25MG,PHENERGAN,
303,7935,50MG,PHENERGAN,
304,7936,2.5%,SELSUN,
305,7942,5MG/ML,SUS-PHRINE SULFITE-FREE,
306,7942,1.5MG/AMP,SUS-PHRINE SULFITE-FREE,
307,7953,0.12%;0.1%,PREFRIN-A,
308,7959,10MG/ML,TENSILON,
309,7959,10MG/ML,TENSILON PRESERVATIVE FREE,
310,7961,10MG/5ML,BENTYL,
311,7984,25MG,AMBODRYL,
312,8032,500MG,TELEPAQUE,
313,8041,0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,EVANS BLUE,
314,8048,5%,XYLOCAINE,
315,8085,EQ 2.5MG BASE,METHOTREXATE SODIUM,
316,8102,12MG,TACE,
317,8107,EQ 3MG BASE/ML,LEUCOVORIN CALCIUM,
318,8107,EQ 50MG BASE/VIAL,LEUCOVORIN CALCIUM,
319,8107,EQ 60MG BASE/VIAL,LEUCOVORIN CALCIUM,
320,8107,EQ 100MG BASE/VIAL,LEUCOVORIN CALCIUM,
321,8107,EQ 350MG BASE/VIAL,LEUCOVORIN CALCIUM,
322,8114,100MG,PRANTAL,
323,8126,25MG,CORTISONE ACETATE,
324,8126,25MG/ML,CORTISONE ACETATE,
325,8126,5MG,CORTISONE ACETATE,
326,8126,10MG,CORTISONE ACETATE,
327,8173,20%,BENOQUIN,
328,8228,25MG/ML,HYDROCORTONE,
329,8228,50MG/ML,HYDROCORTONE,
330,8248,EQ 30MG BASE/ML,WYAMINE SULFATE,
331,8248,EQ 15MG BASE/ML,WYAMINE SULFATE,
332,8278,5MG/VIAL,REGITINE,
333,8284,25MG,CORTISONE ACETATE,
334,8284,5MG,CORTISONE ACETATE,
335,8303,25MG,APRESOLINE,
336,8303,50MG,APRESOLINE,
337,8303,20MG/ML,APRESOLINE,
338,8303,10MG,APRESOLINE,
339,8303,100MG,APRESOLINE,
340,8306,10MG/5ML;6.25MG/5ML,PHENERGAN W/ CODEINE,
341,8306,10MG/5ML;5MG/5ML;6.25MG/5ML,PHENERGAN VC W/ CODEINE,
342,8316,EQ 15MG BASE,PRIMAQUINE,
343,8317,25 UNITS/VIAL,ACTH,
344,8317,40 UNITS/VIAL,ACTH,
345,8319,100MG,BUTAZOLIDIN,
346,8319,100MG,BUTAZOLIDIN,
347,8322,100MG,GEMONIL,
348,8370,10MG/ML,BENTYL,
349,8370,10MG/ML,BENTYL PRESERVATIVE FREE,
350,8372,40 UNITS/ML,H.P. ACTHAR GEL,
351,8372,80 UNITS/ML,H.P. ACTHAR GEL,
352,8378,15MG/5ML;3.75MG/5ML;600MG/5ML,TPN,
353,8381,25MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,PROMETHAZINE HYDROCHLORIDE PLAIN,
354,8381,6.25MG/5ML,PROMETHAZINE HYDROCHLORIDE PLAIN,
355,8392,100MG,NYDRAZID,
356,8402,3%,PHISOHEX,
357,8414,EQ 4% BASE,GANTRISIN,
358,8420,50MG/5ML,RIMIFON,
359,8420,25MG/ML,RIMIFON,
360,8420,100MG/ML,RIMIFON,
361,8428,50MG,ISONIAZID,
362,8428,100MG,ISONIAZID,
363,8428,300MG,ISONIAZID,
364,8453,500MG/VIAL,ANECTINE,
365,8453,20MG/ML,ANECTINE,
366,8453,50MG/ML,ANECTINE,
367,8453,1GM/VIAL,ANECTINE,
368,8472,5%,CYCLAINE,
369,8492,5MG,ANTRENYL,
370,8499,100MG,ISONIAZID,
371,8499,300MG,ISONIAZID,
372,8506,10MG,HYDROCORTONE,
373,8506,20MG,HYDROCORTONE,
374,8565,250MG,THIOSULFIL,
375,8565,500MG,THIOSULFIL,
376,8578,25MG,DARAPRIM,
377,8592,EQ 0.033MG BASE/ML;2%;0.4%,RAVOCAINE AND NOVOCAIN W/ LEVOPHED,
378,8592,0.05MG/ML;2%;0.4%,RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN,
379,8604,5MG/5ML;6.25MG/5ML,PHENERGAN VC,
380,8662,100MG/ML,NYDRAZID,
381,8678,100MG,ISONIAZID,
382,8678,300MG,ISONIAZID,
383,8682,10 IU/VIAL,THYTROPAR,
384,8693,50MG,FURADANTIN,
385,8693,100MG,FURADANTIN,
386,8697,10MG,CORTEF,
387,8697,20MG,CORTEF,
388,8697,5MG,CORTEF,
389,8708,10MG,DIBENZYLINE,
390,8719,2MG/ML,LEVO-DROMORAN,
391,8720,2MG,LEVO-DROMORAN,
392,8732,15MG,PRO-BANTHINE,
393,8732,7.5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,PRO-BANTHINE,
394,8762,125MG/5ML,DILANTIN-125,
395,8762,30MG/5ML,DILANTIN-30,
396,8767,50MG,HEDULIN,
397,8794,100MG/ML,CHLOR-TRIMETON,
398,8809,10MG/ML;0.006MG/ML;0.5MCG/ML;1.5MG/ML;20 IU/ML;0.04MG/ML;4MG/ML;0.4MG/ML;0.36MG/ML;0.3MG/ML;330 UNITS/ML;1 IU/ML,M.V.I.-12,
399,8809,20MG/ML;0.006MG/ML;0.5MCG/ML;1.5MG/ML;20 IU/ML;0.6MG/ML;4MG/ML;0.4MG/ML;0.36MG/ML;0.6MG/ML;330 UNITS/ML;1 IU/ML,M.V.I.-12,
400,8809,20MG/ML;0.006MG/ML;0.05MCG/ML;1.5MG/ML;0.0005MG/ML;0.06MG/ML;4MG/ML;0.6MG/ML;0.36MG/ML;0.6MG/ML;0.1MG/ML;1MG/ML,M.V.I.-12 (WITHOUT VITAMIN K),
401,8814,260CSR UNIT/ML,UNITENSEN,
402,8816,2%,XYLOCAINE,
403,8822,25MG/ML,PERCORTEN,
404,8826,10MG/ML,CHLOR-TRIMETON,
405,8842,50MG,RAUDIXIN,
406,8842,100MG,RAUDIXIN,
407,8843,30MG/VIAL,PRO-BANTHINE,
408,8845,20MG/ML,QUELICIN PRESERVATIVE FREE,
409,8845,50MG/ML,QUELICIN PRESERVATIVE FREE,
410,8845,100MG/ML,QUELICIN PRESERVATIVE FREE,
411,8845,20MG/ML,QUELICIN,
412,8847,20MG/ML,SUCOSTRIN,
413,8847,100MG/ML,SUCOSTRIN,
414,8848,2.5MG,PAMINE,
415,8848,5MG,PAMINE FORTE,
416,8855,500MG,MILONTIN,
417,8857,25MG/ML,PHENERGAN,
418,8857,50MG/ML,PHENERGAN,
419,8867,2MG,RAUWILOID,
420,8869,100MG/ML;50MG/ML,DICURIN PROCAINE,
421,8883,0.5%,OPHTHAINE,
422,8915,4MG,CLISTIN,
423,8917,2.5% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,CORTEF ACETATE,
424,8917,1%,CORTEF ACETATE,
425,8922,200MG/ML,CALCIUM DISODIUM VERSENATE,
426,8922,500MG,CALCIUM DISODIUM VERSENATE,
427,8943,125MG,DIAMOX,
428,8943,250MG,DIAMOX,
429,8951,1.25MG,PAGITANE,
430,8951,2.5MG,PAGITANE,
431,8955,4MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,CLISTIN,
432,8975,40 UNITS/ML,PURIFIED CORTROPHIN GEL,
433,8975,80 UNITS/ML,PURIFIED CORTROPHIN GEL,
434,8983,50MG/ML,ARFONAD,
435,9000,100MG;2MG,CAFERGOT,
436,9008,53%,SALPIX,
437,9018,1.5%,HYDROCORTONE,
438,9048,10MG,8-MOP,
439,9048,1%,OXSORALEN,
440,9052,EQ 500MG BASE/GM,REZIPAS,
441,9053,50MG,PURINETHOL,
442,9078,10MG,PARSIDOL,
443,9078,50MG,PARSIDOL,
444,9078,100MG,PARSIDOL,
445,9087,1MG,HYDERGINE,
446,9087,0.5MG,HYDERGINE,
447,9088,250MG/ML,NEOTHYLLINE,
448,9102,EQ 500MG BASE/5ML,ANTEPAR,
449,9102,EQ 500MG BASE,ANTEPAR,
450,9108,50MG,RAUVAL,
451,9108,100MG,RAUVAL,
452,9112,10%,EURAX,
453,9115,0.1MG,SERPASIL,
454,9115,0.25MG,SERPASIL,
455,9115,1MG,SERPASIL,
456,9115,0.2MG/4ML,SERPASIL,
457,9127,20MG,CORTRIL,
458,9127,10MG,CORTRIL,
459,9149,10MG,THORAZINE,
460,9149,25MG,THORAZINE,
461,9149,25MG/ML,THORAZINE,
462,9149,50MG,THORAZINE,
463,9149,100MG,THORAZINE,
464,9149,200MG,THORAZINE,
465,9149,10MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,THORAZINE,
466,9149,25MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,THORAZINE,
467,9149,30MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,THORAZINE,
468,9149,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,THORAZINE,
469,9149,100MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,THORAZINE,
470,9164,25MG/ML,CORTRIL,
471,9165,200MG/ML,DELATESTRYL,
472,9165,200MG/ML,DELATESTRYL,
473,9166,225MG/AMP,HYDROXYSTILBAMIDINE ISETHIONATE,
474,9170,250MG,MYSOLINE,
475,9170,50MG,MYSOLINE,
476,9175,25MG/5ML,FURADANTIN,
477,9176,1%,CORTRIL,
478,9176,2.5%,CORTRIL,
479,9182,EQ 500MG BASE/5ML,GANTRISIN,
480,9182,EQ 500MG BASE/5ML,GANTRISIN PEDIATRIC,
481,9182,EQ 1GM BASE/5ML,LIPO GANTRISIN,
482,9190,99%,LIPIODOL,
483,9193,2MG,COGENTIN,
484,9193,1MG,COGENTIN,
485,9193,0.5MG,COGENTIN,
486,9215,2MG,RAUTENSIN,
487,9217,260CSR UNIT,UNITENSEN,
488,9218,10MG,COUMADIN,
489,9218,5MG,COUMADIN,
490,9218,75MG/VIAL,COUMADIN,
491,9218,2MG,COUMADIN,
492,9218,7.5MG,COUMADIN,
493,9218,2.5MG,COUMADIN,
494,9218,50MG/VIAL,COUMADIN,
495,9218,1MG,COUMADIN,
496,9218,4MG,COUMADIN,
497,9218,5MG/VIAL,COUMADIN,
498,9218,3MG,COUMADIN,
499,9218,6MG,COUMADIN,
500,9238,50MG/ML,PROGESTERONE,
501,9238,25MG/ML,PROGESTERONE,
502,9255,100MG,WOLFINA,
503,9255,50MG,WOLFINA,
504,9268,100MG,CHOLEDYL,
505,9268,200MG,CHOLEDYL,
506,9268,50MG/5ML,CHOLEDYL,
507,9268,100MG/5ML,CHOLEDYL,
508,9273,50MG,RAUWOLFIA SERPENTINA,
509,9273,100MG,RAUWOLFIA SERPENTINA,
510,9276,50MG,HIWOLFIA,
511,9276,100MG,HIWOLFIA,
512,9276,50MG,HIWOLFIA,
513,9278,50MG,KOGLUCOID,
514,9278,100MG,KOGLUCOID,
515,9282,0.2MG/ML,CEDILANID-D,
516,9296,50MG;0.2MG,SERPASIL-APRESOLINE,
517,9296,25MG;0.1MG,SERPASIL-APRESOLINE,
518,9309,50%,DIONOSIL AQUEOUS,
519,9309,60%,DIONOSIL OILY,
520,9319,12.5MG/5ML;10MG/5ML,AMBENYL,
521,9321,20%,CHOLOGRAFIN SODIUM,
522,9321,52%,CHOLOGRAFIN MEGLUMINE,
523,9321,10.3%,CHOLOGRAFIN MEGLUMINE,
524,9330,0.25MG/ML,LANOXIN,
525,9330,0.1MG/ML,LANOXIN PEDIATRIC,
526,9344,50MG/ML,HISTALOG,
527,9357,0.1MG,RAU-SED,
528,9357,0.25MG,RAU-SED,
529,9357,0.5MG,RAU-SED,
530,9357,1MG,RAU-SED,
531,9372,10MG/ML,ANSOLYSEN,
532,9376,0.25MG,SANDRIL,
533,9376,0.1MG,SANDRIL,
534,9378,50MG/ML,CORTEF ACETATE,
535,9386,2MG,MYLERAN,
536,9388,EQ 500MG BASE/VIAL,DIAMOX,
537,9391,0.1MG,SERPANRAY,
538,9391,0.25MG,SERPANRAY,
539,9391,1MG,SERPANRAY,
540,9395,1GM,PASKALIUM,
541,9395,500MG,PASKALIUM,
542,9402,10MG/ML,DELESTROGEN,
543,9402,40MG/ML,DELESTROGEN,
544,9402,20MG/ML,DELESTROGEN,
545,9410,120MG,LOTUSATE,
546,9434,2.5MG/ML,SERPASIL,
547,9435,1%,NESACAINE,
548,9435,2%,NESACAINE,
549,9435,2%,NESACAINE-MPF,
550,9435,3%,NESACAINE-MPF,
551,9435,2%,NESACAINE-MPF,
552,9435,3%,NESACAINE-MPF,
553,9436,0.1MG,ACYLANID,
554,9452,EQ 500MG BASE/5ML,MULTIFUGE,
555,9453,0.1MG,SERPATE,
556,9453,0.25MG,SERPATE,
557,9458,25MG,CORTISONE ACETATE,
558,9470,2%,XYLOCAINE VISCOUS,
559,9477,50MG,RAUWOLFIA SERPENTINA,
560,9477,100MG,RAUWOLFIA SERPENTINA,
561,9486,50MG/ML,BENADRYL PRESERVATIVE FREE,
562,9489,25MG,PATHILON,
563,9495,50MG/ML,MAREZINE,
564,9509,EQ 10MG BASE/ML,ARAMINE,
565,9519,250MG,DORIDEN,
566,9519,500MG,DORIDEN,
567,9519,500MG,DORIDEN,
568,9561,50%,HYPAQUE,
569,9561,20%,HYPAQUE SODIUM 20%,
570,9561,25%,HYPAQUE,
571,9585,1%,CORT-DOME,
572,9585,0.5%,CORT-DOME,
573,9627,0.1MG,RESERPINE,
574,9627,0.25MG,RESERPINE,
