id,code,description
66,48731-4,Complement C4 [Presence] in Serum or Plasma,
67,37982-6,Avian paramyxovirus [Presence] in Unspecified specimen by Organism specific culture,
68,9221-3,Output.stool 12 hour,
69,67549-6,Transport method NEMSIS,
70,5883-4,Virus identified in Blood by Culture,
71,5167-2,Francisella tularensis Ab [Titer] in Serum by Latex agglutination,
72,74152-0,Anaphylaxis action plan,
73,48597-9,Cyclosporine [Mass/volume] in Blood by Immunoassay --trough,
74,51357-2,CD59 cells/100 cells in Cerebral spinal fluid,
75,25055-5,Unspecified body region MRI additional sequence,
76,33904-4,Neisseria gonorrhoeae rRNA [Presence] in Conjunctival specimen by DNA probe,
77,6247-1,Silk IgE Ab [Units/volume] in Serum,
78,3075-9,Tyramine [Mass/volume] in Cerebral spinal fluid,
79,19352-4,Aprobarbital cutoff [Mass/volume] in Urine for Confirmatory method,
80,45008-0,Chlamydia trachomatis Ab [Presence] in Serum by Complement fixation,
81,22147-3,Brucella abortus Ab [Presence] in Serum,
82,25006-8,Thumb X-ray,
83,18026-5,Left ventricular Maximum diastole [Volume] by US,
84,9854-1,Weighing device Vendor serial number,
85,24152-1,Alternaria alternata Ab.IgG:ACnc:Pt:Ser:Qn,
86,1509-9,Glucose [Mass/volume] in Urine --1 hour post 75 g glucose PO,
87,49020-1,Respiratory allergen panel or US - Coastal California - Serum,
88,55474-1,Dehydroepiandrosterone (DHEA) [Moles/volume] in Serum or Plasma --baseline,
89,43118-9,Fat panel - Stool,
90,31181-1,Toxoplasma gondii IgM Ab [Presence] in Cerebral spinal fluid,
91,49032-6,Second trimester penta maternal screen [interpretation] in Serum or Plasma,
92,36947-0,Foot - bilateral X-ray 3 views standing,
93,24694-2,Face MRI W and WO contrast IV,
94,19344-1,Amphetamine [Presence] in Urine by Confirmatory method,
95,14749-6,Glucose [Moles/volume] in Serum or Plasma,
96,25907-7,Elastase.pancreatic [Mass/mass] in Stool,
97,61588-0,Does your health now limit you in doing vigorous activities or such as running or lifting heavy objects or participating in strenuous sports [PROMIS],
98,5722-4,Selenium [Mass/volume] in Blood,
99,72952-5,Simvastatin induced neutrophil IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
100,74413-6,Differential panel - Cord blood,
101,6150-7,Ispaghula laxative IgE Ab [Units/volume] in Serum,
102,54444-5,Echovirus 8 Ab [Titer] in Serum,
103,60194-8,Triamterene [Mass/volume] in Blood,
104,73511-8,Azithromycin induced platelet IgG Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
105,19908-3,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor --pre XXX treatment,
106,14857-7,Leukocytes other/100 leukocytes in Pericardial fluid by Manual count,
107,55597-9,Js sup(b) Ab [Titer] in Serum or Plasma,
108,35698-0,Metformin [Mass/volume] in Serum or Plasma,
109,48573-0,Follitropin [Units/volume] in Serum or Plasma --on cycle day 3,
110,29286-2,Methamphetamine [Presence] in Meconium,
111,3956-0,Phentermine [Mass/volume] in Blood,
112,12707-6,Thorium [Mass/volume] in Serum or Plasma,
113,14293-5,Insulin [Moles/volume] in Serum or Plasma --baseline,
114,3869-5,Normeperidine [Mass/volume] in Urine,
115,43473-8,Fluoroscopy Guidance for endoscopy of Biliary ducts and Pancreatic duct-- 2 hours post contrast retrograde,
116,61965-0,I felt that I was not needed in past 7 days [PROMIS],
117,72922-8,HNA 1a/1a Ab [Presence] in Serum by Immunoassay,
118,38755-5,Dimethylbenzene [Mass/volume] in Air,
119,65170-3,I see myself as someone who has an assertive personality [PhenX],
120,46851-2,Oral Health Status Community [OMAHA],
121,9690-9,Chromium [Mass/volume] in Unspecified specimen,
122,26753-4,Carnitine esters [Units/volume] in Urine,
123,59183-4,Epstein Barr virus early diffuse IgG Ab [Presence] in Serum,
124,32184-4,Itraconazole [Mass/volume] in Serum or Plasma --peak,
125,26580-1,Carnosine/Creatinine [Molar ratio] in Urine,
126,40237-0,Calcium [Moles/volume] in Serum or Plasma --7.5 hours post XXX challenge,
127,72304-9,Edge of wound description,
128,55200-0,Carnitine [Moles/volume] in Body fluid,
129,981-1,Di sup(a) Ab [Presence] in Serum or Plasma,
130,52781-2,Maximum clot firmness.intrinsic coagulation system activated [Length] in Blood by Thromboelastography,
131,22509-4,Saint Louis encephalitis virus Ab [Titer] in Cerebral spinal fluid,
132,5703-4,Nickel [Mass/time] in 24 hour Stool,
133,17121-5,CD18 cells/100 cells in Blood,
134,50855-6,Hexacarboxylporphyrin [Moles/mass] in Stool,
135,20463-6,Mycobacterium avium complex rRNA [Presence] in Unspecified specimen by Probe and target amplification method,
136,45436-3,Distinct food preferences [Minimum Data Set],
137,2236-8,Calciferol (Vit D2) [Mass/volume] in Serum or Plasma,
138,73126-5,Tazobactam induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
139,60329-0,Promazine [Moles/volume] in Unspecified specimen,
140,10261-6,Intravascular tube Institution inventory number,
141,19216-1,Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood,
142,65879-9,Condition causing difficulty with breathing [PhenX],
143,54520-2,Interview for activity preferences,
144,31401-3,Ganglioside GD1b IgG Ab [Units/volume] in Cerebral spinal fluid,
145,27419-1,Sodium [Moles/time] in 24 hour Stool,
146,23570-5,Vesicular stomatitis virus serotype [Identifier] in Tissue by Complement fixation,
147,35670-9,Tobramycin [Mass/volume] in Serum or Plasma,
148,58637-0,Cortisol [Mass/volume] in Saliva (oral fluid) --10th specimen post XXX challenge,
149,39744-8,Prostate Scan W Tc-99m capromab pendatide IV,
150,46275-4,Major crossmatch [interpretation] --after transfusion reaction,
151,34148-7,Borrelia burgdorferi IgG+IgM Ab [Units/volume] in Serum,
152,48109-3,Glucose [Moles/volume] in Serum or Plasma --15 minutes pre dose glucose,
153,6848-6,Mushroom IgE Ab [Units/volume] in Serum,
154,931-6,Blood product source [Type],
155,3227-6,Coagulation factor XI activity [Units/volume] in Platelet poor plasma by Chromogenic method,
156,64626-5,Have you used any other methods of contraception [PhenX],
157,39421-3,Lower extremity artery - bilateral US.doppler,
158,38602-9,Hydrazine [Mass/volume] in Air,
159,66166-0,Have you had coffee or tea with cream and sugar since eating or drinking anything but plain water [PhenX],
160,71467-5,Erythropoiesis-stimulating agent prescribed Medication,
161,51564-3,Timothy recombinant (rPhl p) 5 IgE Ab RAST class [Presence] in Serum,
162,10483-6,Gastrin Ag [Presence] in Tissue by Immune stain,
163,67345-9,Does looking up increase your problem [PhenX],
164,67573-6,Deprecated Exposure to blood or body fluids,
165,34939-9,Tumor necrosis factor.alpha [Moles/volume] in Serum or Plasma,
166,60620-2,Upper central incisor to stomion [Length] Skull X-ray measured,
167,19455-5,Dimetamphetamine cutoff [Mass/volume] in Urine for Confirmatory method,
168,28348-1,Speech And Language Knowledge [OMAHA],
169,25488-8,Nicotinamide [Moles/volume] in Serum or Plasma,
170,41875-6,Bordetella pertussis and Bordetella parapertussis DNA panel - Unspecified specimen by Probe and target amplification method,
171,72742-0,Noroxycodone [Mass/volume] in Saliva (oral fluid) by Confirmatory method,
172,32867-4,First tooth space boundary [Identifier],
173,13420-5,Epinephrine [Mass/volume] in Plasma --2nd specimen post XXX challenge,
174,44159-2,US Guidance for fine needle aspiration of Kidney,
175,24469-9,Hemoglobin XXX/Hemoglobin.total in Blood by Electrophoresis,
176,28260-8,Communication With Community Resources Behavior [OMAHA],
177,72329-6,Anucleated bodies/100 round cells in Semen by Manual count,
178,8938-3,Fluid intake chest tube 1 hour,
179,18548-8,ST amplitude.J point+20 ms Lead II,
180,22852-8,Deprecated Babesia caballi Ab [Presence] in Serum,
181,27053-8,Morphine [Mass/volume] in Cerebral spinal fluid,
182,13852-9,Aldosterone [Mass/volume] in Serum or Plasma --1 hour post 250 ug corticotropin IM,
183,25254-4,Ticarcillin [Mass/volume] in Unspecified specimen,
184,12450-3,Ketones [Mass/volume] in Urine by Test strip --2 hours post XXX challenge,
185,23418-7,Salmonella abortus equi Ab [Presence] in Serum by Agglutination,
186,4790-2,HLA-B w70 [Presence] in donor,
187,73789-0,General physical condition [NSRAS],
188,29116-1,Didanosine [Units/volume] in Serum or Plasma,
189,6846-0,Latex glove extract buffered IgE Ab [Units/volume] in Serum,
190,53039-4,Genetic disease analysis overall carrier interpretation [interpretation] in Blood or Tissue by Molecular genetics method,
191,56615-8,17-Hydroxyprogesterone [Mass/volume] in Serum or Plasma --20 minutes post XXX challenge,
192,3351-4,Amphetaminil [Mass/volume] in Urine,
193,19048-8,Nucleated erythrocytes/100 leukocytes [Ratio] in Blood,
194,29018-9,Argon laser coagulation treatment spot size Eye - left,
195,42238-6,Borrelia burgdorferi 23kD Ab [Presence] in Serum by Immunoblot (IB),
196,36773-0,Temporal bone CT,
197,33391-4,Coxsackievirus A8 Ab [Units/volume] in Serum,
198,24177-8,Coxsackievirus B1 Ab [Titer] in Serum by Complement fixation --1st specimen,
199,39845-3,Scan whole body W In-111 Satumomab IV,
200,6970-8,Purkinje cells Ab [Titer] in Serum,
201,30884-1,Sacrum X-ray,
202,50512-3,Lutropin [Units/volume] in Serum or Plasma --4th specimen,
203,60663-2,Sella-nasion plane to mandibular plane using menton [Angle] Skull X-ray measured,
204,21260-5,Epstein Barr virus nuclear Ab [Titer] in Serum by Immunofluorescence,
205,19600-6,Morphine cutoff [Mass/volume] in Urine for Confirmatory method,
206,56106-8,Hand dominance - clean teeth [EHI],
207,14559-9,Mycobacterium tuberculosis DNA [Presence] in Pleural fluid by Probe and target amplification method,
208,73282-6,Methotrexate induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
209,54705-9,How important it is to have a place to lock your things to keep them safe while in this facility [MDSv3],
210,33200-7,Amyloid beta 42 peptide [Mass/volume] in Plasma,
211,18395-4,Aspergillus niger Ab [Presence] in Cerebral spinal fluid,
212,4329-9,Methylphenidate [Mass] of Dose,
213,11411-6,Physical findings of Neck Narrative,
214,2602-1,Malate dehydrogenase [Enzymatic activity/volume] in Serum,
215,21060-9,Grey Alder IgE Ab RAST class [Presence] in Serum,
216,50212-0,Glucose [Mass/volume] in Serum or Plasma --2nd specimen,
217,62790-1,Deprecated PhenX measure - family history of diabetes,
218,23868-3,Hantavirus sin nombre IgM Ab [Titer] in Serum,
219,62203-5,t(10;11)(p12;q23)(MLLT10,MLL) fusion transcript [Presence] in Blood or Tissue by Molecular genetics method,
220,68385-4,Glomerular basement membrane Ab [Presence] in Serum,
221,56210-8,Cat dander IgG4 Ab [Mass/volume] in Serum,
222,23760-2,Neospora caninum Ag [Presence] in Fixed tissue by Immune stain,
223,58087-8,Not otherwise specified Ab [Presence] in Serum or Plasma by Cold absorption,
224,42175-0,Scan whole body,
225,55897-3,Immunoglobulin light chains.free [Presence] in Serum by Immunoelectrophoresis,
226,6587-0,Yellow fever virus Ab [Titer] in Serum by Complement fixation,
227,66429-2,Working diagnosis status [PhenX],
228,40903-7,Streptococcus pneumoniae 12 IgG Ab [Mass/volume] in Serum by Immunoassay,
229,322-8,Methicillin [Susceptibility] by Minimum lethal concentration (MLC),
230,68507-3,Did you ever serve on active duty in the armed forces of the U.S. [SAMHSA],
231,48501-1,HLA Ab [Presence] in Serum by Immunoassay,
232,42723-7,OmpC Ab [Units/volume] in Serum,
233,29701-0,Leptospira interrogans sv Zanoni Ab [Presence] in Serum,
234,56063-1,Circumference.at maximal protrusion of gluteus muscles Pelvis,
235,48350-3,Venlafaxine+Norvenlafaxine [Moles/volume] in Serum or Plasma,
236,35434-0,Herpes simplex virus identified in Wound by Organism specific culture,
237,24653-8,Chest X-ray AP and AP right lateral-decubitus,
238,46885-0,Skin Behavior Community [OMAHA],
239,16210-7,Diethylpropion [Presence] in Urine by Confirmatory method,
240,58257-7,Mention of the participant having either trauma or a surgical procedure or or rhabdomyolysis within 1W prior to the cardiac enzymes measurement,
241,22012-9,Coding system.original.SEER [Identifier] Cancer registry,
242,47802-4,Valine/Amino acids.total in Amniotic fluid,
243,62820-6,Deprecated PhenX measure - muscle strength,
244,66958-0,How many times in the last year have you gone into or tried to go into a building to steal something [PhenX],
245,70272-0,Patient Health Questionnaire 4 item (PHQ-4) total score [Reported],
246,4312-5,Deprecated Mephenytoin [Mass] of Dose,
247,71104-4,Would you recommend this clinic or office to others [FACIT],
248,29455-3,Pulmonary vein - right upper Peak systolic flow/Peak diastole flow by US.doppler derived,
249,10490-1,IgE Ag [Presence] in Tissue by Immune stain,
250,19295-5,Opiates [Presence] in Urine by Screen method,
251,68061-1,I am doing fewer social activities with groups of people than usual for me in the past 7 days [NeuroQol],
252,43319-3,Avian pneumovirus A Ab [Titer] in Serum by Immunoassay,
253,64611-7,Current stage of genital development [PhenX],
254,8689-2,History of social function,
255,28928-0,Base curve 2 Contact lens prescription - right,
256,52160-9,Pulmonary therapy treatment plan or Medication administered Set,
257,7437-7,Kapok IgE Ab [Units/volume] in Serum,
258,59159-4,Microalbumin/Creatinine [Ratio] in 24 hour Urine,
259,27546-1,Cardiac rehabilitation treatment plan or Prognosis for rehabilitation,
260,4075-8,Trimeperidine [Presence] in Urine,
261,61229-1,Silver Birch recombinant (rBet v) 1 IgE Ab [Ratio] in Serum,
262,37288-8,Spine Lumbosacral Junction CT WO contrast,
263,40956-5,Yersinia sp Ab [Presence] in Serum by Complement fixation,
264,55390-9,Insulin [Moles/volume] in Serum or Plasma --6 hours post XXX challenge,
265,53178-0,3-Hydroxyoctanoylcarnitine (C8-OH)+Malonylcarnitine (C3-DC) [Moles/volume] in Dried blood spot,
266,44098-2,Microscopic observation [Identifier] in Unspecified specimen by Wayson stain,
267,4903-1,HLA-D w26 [Presence],
268,28483-6,Digestion-hydration Behavior Family [OMAHA],
269,32854-2,17-Hydroxyprogesterone [Presence] in Dried blood spot,
270,3114-6,Uroporphyrinogen decarboxylase [Enzymatic activity/volume] in Plasma,
271,10155-0,History of allergies or reported,
272,24399-8,Deprecated Toxoplasma gondii IgM Ab [Units/volume] in Serum,
273,9097-7,Fluid balance 24 hour,
274,62158-1,I liked being around other kids my age in past 7 days [PROMIS],
275,36779-7,Ovary MRI,
276,1419-1,Cortisol [Mass/volume] in Serum or Plasma --30 minutes post dose insulin IV,
277,33735-2,Surgical margin tumor involvement.distant by CAP cancer protocols,
278,57796-5,Reducing substances [Presence] in Stool by Post hydrolysis,
279,72588-7,Alpha 2 globulin/Protein.total [Pure mass fraction] in 24 hour Urine by Electrophoresis,
280,44058-6,CD4+CD45RA+CD45RB+CD45RC+ cells [#/volume] in Body fluid,
281,72454-2,Butalbital [Mass/volume] in Saliva (oral fluid) by Confirmatory method,
282,47829-7,Arabitol/Creatinine [Molar ratio] in Urine,
283,33561-2,Cannabinoids [Mass/volume] in Gastric fluid,
284,17033-2,Ketamine [Presence] in Urine by Confirmatory method,
285,17395-5,Oxymorphone [Mass/volume] in Urine by Confirmatory method,
286,28652-6,Heparinoid [Units/volume] in Platelet poor plasma by Chromogenic method,
287,56154-8,Protein.abnormal band/Protein.total in Serum or Plasma by Electrophoresis,
288,54464-3,Albumin/Protein.total in Dialysis fluid by Electrophoresis,
289,37508-9,Thoracic Spine vessels MRI angiogram W and WO contrast IV,
290,15944-2,Short Leaf Pine IgE Ab RAST class [Presence] in Serum,
291,29251-6,Brucella sp Ab [Titer] in Serum --2nd specimen,
292,44365-5,Glycine/Creatinine [Mass Ratio] in 24 hour Urine,
293,1315-1,S Ab [Presence] in Serum or Plasma from Blood product unit,
294,8511-8,Posterior tibial artery Systolic blood pressure,
295,51545-2,Budgerigar droppings IgG Ab [Presence] in Serum,
296,35423-3,Herpes simplex virus identified in Vaginal fluid by Organism specific culture,
297,27832-5,Insulin [Units/volume] in Serum or Plasma --4th specimen post XXX challenge,
298,20570-8,Hematocrit [Volume Fraction] of Blood,
299,61218-4,Celery IgE Ab [Ratio] in Serum,
300,61630-0,Are you able to peel fruit [PROMIS],
301,22394-1,Legionella pneumophila 8 Ab [Titer] in Serum,
302,56753-7,PML Ab [Presence] in Serum by Immunoblot (IB),
303,4662-3,Lymphocytes+Monocytes/100 leukocytes in Blood,
304,4966-8,HLA-DR w18(3) [Presence] in donor,
305,50224-5,Epithelial casts [Presence] in Urine by Computer assisted method,
306,43995-0,Trisomy 21 risk in Fetus,
307,13335-5,CD4+CD29+ cells/100 cells in Blood,
308,13649-9,Nickel [Mass/volume] in Water,
309,47411-4,Methadone [Presence] in Serum or Plasma by Confirmatory method,
310,51858-9,Budgerigar serum proteins+feathers+droppings IgG Ab [Presence] in Serum,
311,72014-4,VR-12 Bodily pain (BP) score - oblique method,
312,74351-8,Glucose [Moles/volume] in unspecified time Urine,
313,37001-5,Foot X-ray lateral standing,
314,47276-1,Complement Sc5b-9 Ab [Presence] in Serum or Plasma,
315,69262-4,Shoulder - right X-ray AP and Grashey and axillary,
316,60623-6,Naso-labial angle Skull X-ray measured,
317,835-9,Deprecated A variant subtype Ab [Presence] in on Red Blood Cells,
318,60642-6,Upper lip to pogonion [Length] Skull X-ray measured,
319,815-1,A Ab [Presence] in Serum or Plasma from Blood product unit,
320,48272-9,Ciprofloxacin triggered leukotriene release [Mass/volume] by Leukocytes,
321,21557-4,Tetrahydrocannabinol [Presence] in Urine by Screen method >100 ng/mL,
322,29196-3,Speech therapy treatment plan or Medication name + identifier Identifier,
323,35539-6,Cow milk IgG Ab [Mass/volume] in Serum,
324,9529-9,Histoplasma capsulatum IgG Ab [Units/volume] in Serum by Immunoassay,
325,39643-2,Brain veins Scan,
326,32797-3,Drugs identified in Meconium by Screen method,
327,58624-8,Corticotropin [Mass/volume] in Plasma --pre dose glucose,
328,47772-9,Somatotropin [Units/volume] in Serum or Plasma --45 minutes post dose arginine,
329,50009-0,Fetal lung maturity panel - Amniotic fluid,
330,26639-5,Leishmania tropica Ab [Presence] in Serum,
331,12333-1,Butorphanol [Presence] in Urine,
332,27193-2,Tetrahydrocannabinol [Mass/volume] in Vitreous fluid,
333,64886-5,How old were you when you first needed to wear glasses to see clearly in the distance [PhenX],
334,66103-3,Is the skin on your feet so dry that it cracks open [PhenX],
335,43626-1,Acetohexamide [Presence] in Serum or Plasma,
336,71584-7,Exam finding location Abdomen NEMSIS,
337,64167-0,If disabled from walking by any condition other than heart or lung disease or please describe nature of conditions [PhenX],
338,11694-7,Aorta ascending Peak systolic flow US.doppler,
339,26173-5,Zygomatic arch - left X-ray,
340,52944-6,Aluminum/Creatinine [Molar ratio] in 24 hour Urine,
341,42579-3,Aspergillus fumigatus IgM Ab [Units/volume] in Serum,
342,9196-7,Type of Urine tube,
343,29971-9,Strontium [Mass/volume] in 24 hour Urine,
344,14767-8,Glucose [Moles/volume] in Serum or Plasma --5 hours post dose glucose,
345,29305-0,Medication prescribed,
346,11172-4,Ferret epithelium IgE Ab [Units/volume] in Serum,
347,74659-4,Oxymorphone [Presence] in Saliva (oral fluid) by Confirmatory method,
348,59761-7,Triazolam [Mass/volume] in Body fluid by Confirmatory method,
349,29203-7,Speech therapy treatment plan or Date range (from/through) of hospitalization leading to treatment Set,
350,6562-3,Treponema pallidum IgM Ab [Presence] in Serum,
351,3895-0,Oxymesterone [Mass/volume] in Urine,
352,75220-4,Urology Progress note,
353,2740-9,Pepsins [Enzymatic activity/volume] in Gastric fluid,
354,3963-6,Phenylpropanolamine [Presence] in Serum or Plasma,
355,36222-8,Knee CT W contrast IV,
356,363-2,Nitrofurantoin [Susceptibility] by Minimum inhibitory concentration (MIC),
357,64453-4,My cough or breathing disturbs my sleep [PhenX],
358,4428-9,Streptomycin [Mass] of Dose,
359,21542-6,Strawberry IgG Ab RAST class [Presence] in Serum,
360,51922-3,Malt IgG Ab [Mass/volume] in Serum,
361,48826-2,Respiratory allergen panel or US - South Atlantic states a - Serum,
362,69122-0,Fluoroscopy Guidance for abscess drainage of Pancreas,
363,66773-3,Feelings and emotions [PhenX],
364,11325-8,Glasgow coma score motor at First encounter,
365,42670-0,pH of Vitreous fluid,
366,39756-2,Thyroid Scan W Tc-99m Sestamibi IV,
367,36650-0,Elbow - left X-ray 2 views,
368,32268-5,Ribose [Presence] in Urine,
369,16919-3,Glycine [Presence] in Urine,
370,72873-3,Estradiol (E2) [Moles/volume] in Serum or Plasma by High sensitivity method,
371,61666-4,Are you able to open car doors [PROMIS],
372,37082-5,Shoulder - left X-ray AP and axillary and outlet,
373,46733-2,Amino acidemias newborn screen interpretation,
374,63911-2,Fibrocystic or other benign breast disease confirmed by breast biopsy [PhenX],
375,38194-7,Antidepressants [Identifier] in Gastric fluid,
376,41086-0,MLH1 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,
377,52380-3,Skilled nursing treatment plan or Treatment encounter (narrative),
378,17774-1,Yellow dye IgE Ab [Units/volume] in Serum,
379,14154-9,Cholesterol sulfate [Mass/volume] in Serum,
380,7198-5,Celery triggered histamine release [Units/volume] in Blood,
381,66560-4,Have you been diagnosed with melanoma in the past - skin cancer or arising in melanocytes or skin cells that make skin pigment [PhenX],
382,20897-5,Mycoplasma sp serotype [Identifier] in Isolate,
383,57269-3,Patient-specific parameters for notifying physician of changes [OASIS-C],
384,58925-9,Dextromethamphetamine [Presence] in Urine,
385,60417-3,Parainfluenza virus 2 RNA [Presence] in Isolate by Probe and target amplification method,
386,24473-1,Deprecated CD23 cells/100 cells in Unspecified specimen,
387,52688-9,Discharge location [CARE],
388,74888-9,Phytosterols panel - Serum or Plasma,
389,68091-8,I am bothered by limitations in performing my work in the past 7 days [NeuroQol],
390,29130-2,Weight on cornea [Mass] Eye - left Schistz tonometry,
391,240-2,Ethambutol [Susceptibility] by Minimum lethal concentration (MLC),
392,16536-5,Canary serum proteins Ab [Units/volume] in Serum,
393,12771-2,Cholesterol in HDL [Presence] in Serum or Plasma by Electrophoresis,
394,42755-9,Phosphatidylserine IgM Ab B2GP1 dependent [Multiple of the median] in Serum,
395,30373-5,Basophils/100 leukocytes in Bronchial specimen,
396,56586-1,Dehydroepiandrosterone (DHEA) [Mass/volume] in Serum or Plasma --15 minutes post XXX challenge,
397,25741-0,Prolactin [Mass/volume] in Serum or Plasma --50 minutes post 200 ug TRH IV,
398,40044-0,Glucose [Mass/volume] in Serum or Plasma --36 hours post XXX challenge,
399,53697-9,Fetal Nasal bone diaphysis [Length] US,
400,25864-0,Aspartate [Moles/volume] in 24 hour Urine,
401,51478-6,Mucus [#/volume] in Urine by Automated count,
402,31500-2,Ganglioside GM1 IgG+IgM Ab [Units/volume] in Serum,
403,29593-1,MIB-1 Ag/100 cells in Tissue by Immune stain,
404,8800-5,Right ventricular Stroke volume index by Fick method,
405,45715-0,Headache [Minimum Data Set],
406,11995-8,Narrative Placenta position US,
407,24402-0,Chlamydophila pneumoniae+Chlamydophila psittaci DNA [Presence] in Unspecified specimen by Probe with amplification,
408,3051-0,Triiodothyronine (T3) Free [Mass/volume] in Serum or Plasma,
409,73207-3,Phenytoin induced platelet IgM Ab [Presence] in Serum or Plasma by Flow cytometry (FC),
410,55716-5,Ticarcillin+Sulbactam [Susceptibility] by Minimum inhibitory concentration (MIC),
411,48571-4,Follitropin [Units/volume] in Serum or Plasma --on cycle day 11,
412,594-2,Leptospira sp identified in Unspecified specimen by Organism specific culture,
413,40686-8,Platelet factor 3 [Units/volume] in Platelet rich plasma,
414,75101-6,Fatty acids.very long chain C22:0 (Docosanoate) [Entitic substance] in Red Blood Cells,
415,27972-9,Histidine [Units/volume] in Serum or Plasma,
416,64196-9,Do you still have asthma [PhenX],
